word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
ペン,ペン,ペン,1203,1967,2486,1224,4754,722,4170,2391,4667,1808,2091,1590,2281,2575,1635,3241,4853,-1,6936,5819,4697,3858,2848,-1,-1,4561,20488,-1,2336,4110,3840,3456,6436,2356,2694,4559,-1,5244,3634,6356,4080,6986,4468,6454,2967,4717,5341,9054,5212,5145,5270,2374,11014,3720,4045,-1,3072,3744,3103,7559,2435,3361
ストレス,ストレス,ストレス,1225,1844,1736,3701,1910,722,4170,4014,1896,1381,1819,3399,2281,2480,1536,7609,4848,-1,3657,805,3593,2637,2332,-1,-1,9421,-1,-1,6955,8441,7900,3650,5591,3139,3324,2548,1778,19417,10382,6376,3136,18699,1246,1467,846,1803,3242,8016,866,2391,2948,2576,11048,4599,2780,3670,4138,2071,3694,8833,2157,2048
マーク,マーク,マーク,1227,2883,2348,3701,7639,2876,557,4014,2712,2798,6377,2540,4541,3136,2636,1405,3905,-1,5035,2227,4038,1366,1286,-1,-1,4614,-1,-1,3077,3528,3293,4313,6991,1034,1200,2203,-1,450,4561,4641,4578,5380,2299,1610,4422,2697,372,1375,3504,3233,3554,1712,6259,4470,1433,279,4122,1633,4029,1596,1849,1988
スーツ,スーツ,スーツ,1252,2376,1890,3237,7639,2876,4170,4014,4667,1566,2261,2907,4541,2480,2267,5667,2334,-1,7998,3656,4433,1801,1650,-1,-1,3075,-1,-1,2344,6495,6073,5014,7196,1187,1450,4885,-1,18260,3001,6430,4351,17791,4389,16318,2747,4643,2468,5605,5151,1009,1285,2528,16189,4110,1896,-1,1915,2382,4503,6271,1931,3674
ずれる,ずれる,ズレル,1262,1168,1614,899,661,1259,4170,487,2712,1677,2261,825,917,907,1678,-1,7240,-1,9366,4989,5055,10134,8701,2130,8922,7557,6845,6019,3595,6845,6403,6004,5370,-1,-1,22881,-1,-1,4577,6906,6352,6922,2542,1659,4093,2915,3880,4055,3678,3435,3731,4561,6741,3742,10540,-1,6702,-1,2740,14686,3523,3749
ゴール,ゴール,ゴール,1266,4252,3264,11364,7639,2876,4170,4014,1896,2620,4264,11052,11750,2970,8749,1418,2383,-1,7635,3293,6071,1752,1484,-1,-1,6697,-1,-1,5086,3287,3066,2721,8699,5124,4611,2496,-1,7592,6866,3927,3072,5638,3253,2308,3997,3573,1643,8524,4221,4055,4281,3093,7408,4535,1846,2391,4838,3383,5834,2454,2865,1983
コース,コース,コース,1267,786,1029,745,408,2876,4170,1705,858,631,3728,1590,462,642,1077,1257,3860,-1,2991,735,5239,2596,2227,-1,-1,3914,-1,-1,2657,3922,3662,3091,4557,2865,2966,1372,-1,2973,4214,4504,3370,4782,2092,3866,1274,2510,1555,2816,3367,3059,1717,1165,6042,4591,2735,6018,3942,1440,4054,927,2244,1751
ベル,ベル,ベル,1271,4649,3547,11364,7639,2876,4170,4014,4667,5635,1940,11052,11750,8574,3401,2351,1967,-1,11152,9764,1921,1670,2597,-1,-1,2088,-1,-1,2156,2481,2303,3167,3169,1535,1768,4755,-1,986,1845,4032,2582,8368,5136,3414,3853,5353,1304,2296,5800,5766,5847,4587,11531,2772,1756,7242,2312,3676,7156,3532,2459,3784
ロボット,ロボット,ロボット,1283,3966,3390,4421,7639,2876,4170,4014,4667,2308,6377,3399,11750,5523,3234,2735,1566,-1,9585,2986,6779,1999,1969,-1,-1,6004,-1,-1,6647,6035,5642,3668,7256,1575,1922,2957,5477,5034,6088,4962,4171,21424,1991,2512,1342,2419,3575,4014,1731,2982,3351,3476,12234,7717,2100,252,3713,1888,5659,1562,705,1875
がっかり,がっかり,ガッカリ,1292,6059,5005,7212,7639,2876,4170,4014,4667,6699,2692,11052,11750,7239,5172,-1,4924,-1,13325,5901,4479,4851,4322,1768,4432,5315,5376,5259,3780,5376,5018,5069,6468,3840,3788,8126,4141,-1,5068,4989,6463,-1,4969,8593,3383,5195,2509,9321,964,5613,5699,6463,17448,5675,5061,-1,6433,7270,3585,-1,16890,11569
