word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
ロック,ロック,ロック,1803,2809,2048,11364,7639,2876,4170,4014,4667,1242,13585,5139,11750,2144,4107,893,1602,-1,8457,2357,3527,1351,1422,-1,-1,3783,-1,-1,3493,3879,3623,3463,5359,967,1029,2770,-1,287,3840,3857,2168,5345,3112,5956,1845,3436,4253,8476,1887,3931,4167,1248,8456,2667,1423,603,3368,1243,4743,1045,1875,2576
ポジション,ポジション,ポジション,1805,3837,3914,2617,7639,2876,4170,1362,4667,3860,4264,11052,2677,4277,3619,1250,7713,-1,12960,4065,10838,9078,7666,-1,-1,17465,-1,-1,12681,7612,7123,9084,7758,11134,9839,4435,11598,21917,18695,7681,6511,14767,5654,5078,5932,5857,6369,2065,6242,6248,6312,5002,15464,7249,9474,-1,9568,4976,6209,1393,3170,2480
クラブ,クラブ,クラブ,1819,1319,1029,3237,4754,2876,2405,4014,1896,1056,1126,1313,2976,1120,1536,418,3543,5014,2661,1315,3105,1318,1150,-1,-1,2504,-1,-1,2171,6122,5725,2220,5188,1193,1404,1405,8876,214,2771,5651,3939,5967,1765,13174,878,2232,3451,5229,1690,2800,1669,1114,6964,7629,1386,-1,3280,1551,3464,333,4036,1683
ほお,ほお,ホオ,1820,4252,3914,4421,4754,2876,4170,4014,4667,8262,2447,3399,4541,3486,5712,19389,5877,506,5116,7966,2953,7558,7424,-1,7065,9829,6572,5239,598,5362,5004,4425,8403,10341,9779,23372,1171,8141,759,4630,3672,5035,11597,24745,8797,11684,11912,14040,11888,1655,2324,7237,4910,643,7882,9652,14940,14969,368,14194,15457,11495
あむ,あむ,アム,1823,11455,9191,11364,7639,2876,4170,4014,4667,6699,8594,11052,11750,14238,8749,-1,2355,-1,11867,9937,1956,3405,24483,2747,11645,7307,14259,12204,6416,16454,15412,12364,2475,-1,-1,-1,15227,-1,3175,7485,1380,6535,3622,10170,2097,3915,4638,8665,4513,4381,4567,6467,10363,7200,3568,-1,10667,-1,1937,21970,9589,5080
シャッター,シャッター,シャッター,1838,5116,4679,4421,7639,2876,4170,4014,2712,5635,3728,6998,4541,3722,8749,12490,3080,-1,12452,6006,1501,2900,11668,-1,-1,7481,-1,-1,5447,11274,10577,1127,9966,9198,9188,8878,5942,-1,9023,11647,7570,17403,13116,13846,9929,13188,13392,15276,13363,13379,13390,6807,11868,18303,3062,-1,7663,10245,7551,9867,3062,6163
おす,おす,オス,1841,13446,13258,11364,4754,2876,4170,4014,4667,10817,8594,11052,7431,8574,21622,9860,4669,1685,1483,1101,1439,13126,4915,9385,16383,4292,1370,6463,467,8574,8021,3898,9742,17721,15532,6148,518,16852,1126,17019,9072,3108,22371,1445,16568,22376,22457,23443,22467,22477,22485,891,3233,1170,13586,7130,10334,19050,762,22356,16036,10821
シリーズ,シリーズ,シリーズ,1852,1782,2048,2894,801,2876,4170,2391,4667,1808,2447,5139,945,1599,2047,226,4107,-1,4620,1088,3823,1872,1784,-1,-1,8116,-1,-1,5122,7834,7325,4604,16461,7626,7175,1379,7627,230,7355,7546,9591,21347,3211,9258,1835,3531,4337,4128,4182,4019,4249,550,5463,8397,1974,-1,3857,641,11661,151,923,1570
ベース,ベース,ベース,1854,2278,3547,1169,1716,2876,1688,2391,4667,2435,1940,11052,1544,2144,2450,1104,4063,-1,3739,1935,10260,4841,3927,-1,-1,9304,-1,-1,6830,8601,8047,4647,7240,4374,5171,1891,-1,881,9393,7327,4675,7110,835,542,2195,1493,394,3197,1499,2115,2749,1796,9445,5860,5111,-1,7079,1632,8030,938,623,1143
トマト,トマト,トマト,1865,922,737,2034,7639,2876,4170,4014,1896,817,623,854,3839,1355,747,11617,6029,-1,6415,4862,6097,4553,3637,-1,-1,11761,-1,-1,8324,7253,6793,4592,8100,6550,6758,5372,-1,6491,13311,10024,6679,9678,3111,16275,1713,3435,4252,8475,1257,3930,4166,2571,14479,5184,4769,-1,7210,4970,4951,11335,3084,2551
イエス,イエス,イエス,1881,3103,3730,2034,2451,2876,1050,4014,4667,4862,4264,1590,3327,5029,2267,4926,3479,-1,7161,3219,4022,1913,6713,-1,-1,5316,-1,-1,5669,5324,4968,4605,11537,1726,1543,2622,-1,1581,5561,12351,3361,5440,5375,3321,10341,5583,6127,4336,6008,5988,6062,7588,9163,19612,2016,-1,3423,4960,17493,6143,16018,796
ホーム,ホーム,ホーム,1883,1226,1390,1352,764,1001,4170,629,2712,1124,1462,2276,1089,1247,1233,533,9200,-1,1720,1142,8355,6280,2691,-1,-1,3939,-1,-1,2150,6025,5632,2660,9719,2028,2249,2314,-1,824,4169,9054,8054,5483,1403,2042,857,1932,3297,3227,2973,2513,3021,451,11784,4617,6535,-1,2460,2075,4488,651,3276,1793
クリーム,クリーム,クリーム,1888,975,1004,707,7639,722,4170,4014,1896,1124,805,687,1339,2144,690,6182,8497,-1,4673,1711,8442,4071,2029,-1,-1,8279,-1,-1,3621,5272,4920,2614,5070,3272,3338,6795,2891,7924,11265,7367,8907,5308,2573,8533,1416,2943,3904,5325,3697,3460,3754,1264,9569,3668,4262,-1,4129,5703,1930,8899,6836,1087
マッサージ,マッサージ,マッサージ,1891,3599,3142,5421,7639,1259,4170,4014,4667,3517,6377,2907,2443,4621,3058,16431,9577,-1,8864,1685,10340,4532,3643,-1,-1,12069,-1,-1,8907,12335,11564,6368,4366,6578,6511,5696,322,22195,15523,11829,10183,23429,7187,10309,5012,7349,7746,10691,7657,7699,7714,2304,20680,7834,4735,-1,8214,4872,3046,13169,9904,2102
コード,コード,コード,1911,3704,5005,3701,1587,2876,4170,2391,4667,4862,2939,5139,2677,2970,5172,1499,5150,-1,5678,1207,7599,3092,2398,-1,-1,7145,-1,-1,4688,6573,6147,5377,15835,1046,1182,1798,-1,3612,6266,6023,4427,10003,1757,1066,4088,2225,3447,8100,3164,2793,3219,1043,5988,9228,3244,941,4715,1295,8576,610,1901,1172
シート,シート,シート,1917,1726,2572,983,1459,1259,1050,1705,1896,1566,1727,2276,2443,2075,1536,2618,11005,-1,3896,1999,9430,5979,3318,-1,-1,3487,-1,-1,2979,11367,10662,5878,6722,3149,3134,3100,-1,15968,4596,10911,8812,9672,3207,3181,2491,3527,4333,5408,4178,4015,4245,1177,11752,4788,6231,-1,3609,3743,2121,3279,2292,1655
プリント,プリント,プリント,1923,2319,5005,1109,1231,2876,4170,4014,4667,3860,4264,6998,868,1635,4107,8565,11725,-1,8953,3611,12027,12766,9944,-1,-1,11648,-1,-1,7690,11402,10695,2744,6736,10054,10592,4879,8061,-1,12754,9728,5448,17441,3218,2760,3759,3538,4342,1079,4189,4023,1865,2007,16034,15972,13228,-1,7845,6692,4327,9253,6965,6626
こだわり,こだわり,コダワリ,1929,3410,3028,3701,4754,2876,2405,2391,2712,3224,4264,3399,3327,3136,3849,11918,8370,-1,9780,2522,5013,10238,7696,-1,7887,15990,11380,8796,9422,11380,10674,8456,10664,15866,14623,4502,13986,-1,12549,7575,8694,-1,5147,4028,5095,5364,5929,9423,5810,5776,5856,2401,23098,8595,10641,5411,10659,6264,7002,12093,7410,5167
バター,バター,バター,1933,969,1139,501,7639,2876,4170,4014,858,1301,545,1180,1808,1560,758,12046,10766,-1,6613,6586,9561,4037,2614,-1,-1,9387,-1,-1,5688,5753,5374,7965,9288,3962,4288,9241,-1,9822,9801,10965,8451,6924,3409,23202,1935,3719,4476,2909,4340,4186,4398,3414,7293,5226,4222,8851,10348,5810,5657,13811,6466,2758
オレンジ,オレンジ,オレンジ,1951,1179,1086,1352,2149,2876,474,2391,633,1566,1159,887,2976,1514,1006,4725,7949,-1,7542,5238,7917,4771,3326,-1,-1,5065,-1,-1,3652,8731,8172,4679,13018,4506,4485,4945,8284,2725,9889,10511,5835,10998,3816,3876,3082,4094,1284,5514,4677,4554,4728,2763,16325,4750,4985,-1,4381,3964,4967,4282,4418,2074
ちい,ちい,チイ,1965,6453,5365,7212,7639,2876,2405,2391,4667,6699,4264,6998,11750,4621,10747,1561,7011,1737,3640,24038,3724,8690,12707,2832,13035,16651,7411,4278,6957,12972,12157,14503,10965,3947,3965,24164,11259,22729,2613,1950,8036,6054,4453,3801,4436,4704,5328,2570,5199,5130,5259,22657,9329,21557,9035,-1,3027,11386,16315,23314,15380,5393
トレーニング,トレーニング,トレーニング,1997,5383,6382,3237,4754,2876,4170,4014,4667,6699,3728,3399,7431,6269,4755,3341,6990,-1,7204,1374,11090,5842,4811,-1,-1,14128,-1,-1,10411,6248,5843,1808,8857,5123,5237,3176,2900,8378,16329,6368,3683,10297,1844,2066,1445,2294,297,8123,3212,2862,3263,2722,12937,6864,6114,8493,7455,4686,7815,5258,3593,2523
コンクリート,コンクリート,コンクリート,2009,6881,5828,7212,7639,2876,1688,4014,4667,10817,6377,5139,5541,5523,8749,3940,21995,-1,8043,5807,19698,10455,8670,-1,-1,4094,-1,-1,2876,19748,18506,16058,9414,8648,9140,6858,11481,16150,4185,20498,15524,5122,6521,16436,4474,6701,7149,5935,1343,7067,7102,6087,5653,12005,10878,4117,4658,8330,7594,6323,6948,6456
アルコール,アルコール,アルコール,2012,1726,1352,5421,3549,1259,4170,4014,1428,1205,2091,2059,2976,1879,1635,4305,15476,-1,7073,3174,12106,7507,5204,-1,-1,5679,-1,-1,4256,19015,17817,12920,8098,4625,5217,5121,5946,8480,6620,14757,11898,3634,4470,8581,2788,4719,5342,9056,5214,5147,5271,4070,4933,5493,7826,-1,6135,4429,5087,5498,4450,3511
リング,リング,リング,2017,3704,3914,5421,2149,1733,1688,4014,4667,1980,8594,6998,7431,6269,2743,2168,2942,-1,9132,3947,4628,3688,3072,-1,-1,5839,-1,-1,5769,3294,3073,3070,11492,3615,3701,2994,-1,2050,4778,6492,4579,10433,10145,8192,10433,10253,10533,4605,10487,10522,10516,2059,12044,3594,3853,-1,5198,2760,8272,1861,4313,4165
ゴム,ゴム,ゴム,2027,1506,1930,707,7639,2876,904,4014,2712,1734,2091,631,11750,5523,941,5071,1840,12441,6541,5178,10392,3945,2891,-1,-1,5020,-1,-1,2973,441,407,3914,7774,6240,6834,7236,-1,15262,5981,8544,3645,2670,5495,7558,3724,5701,6227,9621,6106,6101,6169,2184,3679,7472,4126,5265,4783,5247,3639,6148,3470,2767
ステップ,ステップ,ステップ,2034,4114,3914,4421,3549,2876,4170,4014,1168,4323,8594,4109,3327,5029,3619,4076,2385,-1,7251,2088,13370,5983,4892,-1,-1,11187,-1,-1,7873,10954,10278,7639,8033,6196,5573,3633,4534,5908,11461,8046,6817,16640,1802,1047,5896,2261,2085,8112,3190,2827,3243,2630,19706,4389,6235,8999,5791,5704,5707,5148,1315,1554
ブラック,ブラック,ブラック,2040,2636,2647,2034,3549,2876,2405,2391,4667,1734,1940,5139,11750,2075,3619,2078,1675,-1,7663,2360,4067,2259,1894,-1,-1,7329,-1,-1,4425,2284,2120,2426,11274,1107,1234,4687,10687,366,7581,5148,2602,9791,4356,4653,3476,4611,5245,4248,1296,5044,5177,1143,18489,3301,2378,305,4689,1443,4108,2158,3497,2380
フィールド,フィールド,フィールド,2043,3322,25005,11364,638,1733,4170,4014,4667,10817,13585,11052,1022,2075,10747,2339,1656,-1,8908,3588,11461,3651,3036,-1,-1,9535,-1,-1,8787,7837,7328,13666,12585,2610,2700,4539,7715,1933,9061,6716,4741,14246,3343,1979,9082,3658,4425,3388,4289,4131,4342,3924,23211,3308,3818,-1,6453,4974,14150,2660,4842,4926
ブルー,ブルー,ブルー,2048,3103,2825,3237,3549,2876,2405,1705,2712,2989,3728,2907,3327,4277,2450,1810,1785,-1,5202,2949,5447,2275,2180,-1,-1,4131,-1,-1,2989,1721,1596,4667,10697,2106,2437,3735,-1,549,4880,5964,4292,10870,2906,2443,2649,3244,4114,4090,3952,3747,4002,1433,19100,3995,2394,3317,4029,2295,6163,1769,4145,2566
はる,はる,ハル,2060,1319,1192,1491,2149,2876,1688,4014,2712,4323,541,2540,2443,2575,930,8091,918,335,6457,9134,517,1778,3256,748,3346,1437,4613,1355,2260,4613,4313,1308,3194,4260,4151,9359,1273,15304,1255,15467,1492,562,2579,2513,4941,2949,119,2236,3703,3465,3758,4091,569,855,1869,3729,3075,5991,805,2680,5643,4627
オープン,オープン,オープン,2086,1607,1414,2617,1587,2876,4170,572,4667,1889,3728,2276,978,1775,1508,933,3101,-1,4745,962,4887,4486,3435,-1,-1,11670,-1,-1,7692,8262,7728,4915,10286,5467,4896,1776,8353,1243,13649,6185,4512,8590,2339,1892,2364,2732,1582,2465,3530,3265,3580,1537,15131,6705,4691,8566,7436,1550,6128,1182,1031,1134
グラウンド,グラウンド,グラウンド,2087,6453,5005,11364,7639,2876,4170,4014,2712,4862,5138,6998,11750,4621,10747,6073,7636,-1,12834,8865,12995,14387,11672,-1,-1,8937,-1,-1,7572,15781,14789,8201,8725,19216,19540,9512,14453,6959,9421,11255,9706,14468,4379,7528,2915,4633,5265,5604,5142,5064,951,10974,18597,10623,14874,-1,7246,10892,6737,4670,8982,13420
コール,コール,コール,2089,3966,3390,7212,3549,2876,4170,4014,685,3224,13585,11052,4541,5523,3234,3930,2209,-1,14526,4269,7058,3327,3106,-1,-1,8801,-1,-1,5652,7381,6908,8205,8147,1959,2093,5224,-1,1558,8858,8579,6675,9137,5974,4931,5577,6168,6660,9901,6535,6554,6599,4377,14219,8758,3494,-1,6192,3893,6185,4181,9858,5205
ナンバー,ナンバー,ナンバー,2090,3492,3730,3237,2451,2876,4170,4014,1168,5635,8594,3399,1941,2575,5712,3457,4286,-1,5082,2691,4753,4229,2830,-1,-1,7361,-1,-1,4565,1989,1846,3556,12313,2251,2548,6440,10537,6134,7416,4795,3646,17816,3666,3227,3165,3956,4673,8680,4554,4422,4603,2274,18841,6480,4419,-1,6373,3111,5978,1492,6205,3783
へい,へい,ヘイ,2094,3170,2722,3701,4754,2876,904,4014,984,6699,2939,2907,4541,2970,3401,13174,1446,2576,4415,8963,2500,1328,3721,-1,3821,656,3041,5642,2011,3041,2836,5440,1724,12418,12325,4527,9546,20616,994,6167,4494,1800,19248,14353,24616,19265,19390,20606,19385,1090,19399,19734,1483,532,1320,1447,9527,2540,1816,956,1405,4663
パック,パック,パック,2107,1607,1614,1491,1716,2876,4170,4014,1896,2989,1274,986,1622,2144,1344,4956,8816,-1,6525,2743,12072,3146,2833,-1,-1,10398,-1,-1,7103,14729,13817,5834,7799,4414,4685,4658,-1,10105,8280,11295,4228,21385,2530,1940,2804,2904,3873,1997,3670,3425,3723,1746,22915,9319,3328,-1,6759,2945,5947,3713,3365,2237
マスコミ,マスコミ,マスコミ,2111,11455,9191,11364,7639,2876,4170,4014,4667,16460,6377,5139,11750,14238,8749,5377,3853,-1,5432,4025,2584,3837,3486,-1,3580,4847,14698,10573,4132,14698,13789,10167,13170,4840,5463,1961,-1,16126,5005,9930,6174,-1,3536,4638,2468,3835,4575,3400,4444,995,1906,4534,18491,15196,4029,-1,5390,4535,10563,5887,4071,5162
ミサイル,ミサイル,ミサイル,2129,20704,17146,11364,7639,2876,4170,4014,4667,16460,13585,11052,7431,14238,21622,2117,2569,-1,10256,5842,13615,4913,3850,-1,-1,6603,-1,-1,9048,11069,10387,11130,14639,2267,2488,2580,-1,4028,7142,6353,5075,12538,12311,24990,8494,12393,12603,14603,12581,12600,12614,7569,10032,9139,5129,1201,5221,3248,15078,1796,2652,3060
べし,べし,ベシ,2142,1086,1390,983,566,1733,1304,686,1896,1381,1462,1383,729,878,1443,11347,422,-1,252,233,10295,208,207,149,216,239,342,539,133,342,316,517,286,-1,-1,5365,-1,-1,4335,8158,405,218,571,465,691,1313,962,651,810,1974,1473,429,152,-1,215,371,223,6454,-1,704,391,302
インク,インク,インク,2143,4442,9191,2034,2913,2876,4170,1118,4667,3860,13585,11052,2976,4277,4755,9284,12674,-1,15451,6743,12864,11343,9024,-1,-1,11026,-1,-1,6473,12124,11373,8879,16781,6639,7825,9309,-1,7671,12116,17966,9704,6587,12484,9589,11303,12561,12773,14743,12749,12765,12782,4392,7626,6322,11761,-1,10947,9177,10284,13453,4925,6129
バック,バック,バック,2152,2523,2418,2363,2913,2876,2405,1705,1896,2069,5138,3399,2095,1828,4107,1662,5080,-1,4768,1448,5305,3180,2188,-1,-1,4569,-1,-1,2519,5043,4704,2895,8078,1790,1711,219,-1,1174,4964,5489,4265,5281,1664,1124,2362,2148,3397,8082,1163,2722,3161,593,13353,3811,3331,-1,3154,1723,3920,1931,2338,1760
けん,けん,ケン,2164,5116,5005,5421,3549,2876,4170,2391,4667,5635,6377,2540,7431,7239,4107,1990,758,2625,23312,19629,578,472,3829,1490,4955,1252,8536,11221,1163,8536,7988,6767,1181,17750,16257,8260,4610,3133,1875,6417,1196,6741,12287,11820,10515,12369,12580,6575,12560,12576,12590,12360,5398,698,454,7822,8775,3883,799,2061,1589,4131
バンド,バンド,バンド,2171,2883,2348,7212,2913,2876,4170,975,4667,2173,3728,3399,4541,2970,2743,531,5728,-1,6569,2303,5223,1965,1702,-1,-1,6127,-1,-1,4470,13123,12298,1876,2893,1993,2215,2067,-1,272,6536,8536,4249,9256,1632,3432,900,2118,3386,8075,883,2698,456,1375,10164,15751,2070,-1,5456,1475,5761,807,2904,3624
ショー,ショー,ショー,2179,3170,2486,7212,4754,2876,1304,1705,2712,2989,4264,3399,3839,3722,2743,1613,1965,-1,5579,2228,2414,1121,1101,-1,-1,5910,-1,-1,3386,4021,3755,3821,6223,818,854,2916,-1,720,4219,4664,2485,7576,3395,10162,1977,3707,4465,5436,4330,772,4387,1802,11944,7092,1194,-1,5487,2246,5056,2033,4421,4097
ジャケット,ジャケット,ジャケット,2182,4649,3730,7212,7639,2876,4170,4014,4667,10817,2261,11052,3327,5029,4411,3024,14087,-1,8745,4444,11496,7902,6569,-1,-1,6852,-1,-1,4726,21903,20536,15239,14481,3822,4317,6541,8810,7086,7114,20345,13679,14726,10039,24241,6747,10149,10435,12821,10385,10419,10414,2150,18254,9786,8210,-1,5240,3670,11116,3398,12515,9459
どうこう,どうこう,ドウコウ,2192,4649,4679,3701,4754,2876,2405,1705,4667,4323,5138,4109,7431,3293,8749,5065,10619,3927,12571,11993,4166,14165,11674,3359,11973,15089,6189,7778,8949,6189,5786,7483,4832,20718,19120,12911,6304,-1,4504,10364,5946,10427,7953,8123,6610,8098,8460,6110,8379,8430,8434,16694,17342,4559,14703,1860,14205,17286,3351,5617,14098,8122
スピーカー,スピーカー,スピーカー,2195,4442,3730,11364,3549,2876,4170,2391,4667,10817,13585,1731,3327,3486,6427,10260,17308,-1,14561,4581,14950,6365,7073,-1,-1,8168,-1,-1,5874,14157,13277,10040,9768,7726,7769,6028,7610,21664,8202,11337,5543,18229,2034,1193,6109,2454,3597,8162,905,3012,1709,4821,14774,16689,6624,-1,7794,7916,7118,10197,1025,3274
ラジオ,ラジオ,ラジオ,2214,1587,1390,2894,1716,1259,788,1118,984,1433,1629,2540,3327,1355,1931,540,7123,-1,5224,2647,4978,2930,2602,-1,-1,3679,-1,-1,2815,9934,9315,4913,10093,2589,2757,2051,-1,331,4038,8808,3163,4405,1686,2671,1007,2166,3409,8086,3120,2740,704,1843,4421,16412,3098,9556,4804,1634,6195,325,2607,2219
パイ,パイ,パイ,2221,3599,4679,2363,2451,2876,1688,4014,4667,8262,3262,1876,3839,4621,3058,9595,5777,22966,14723,10000,3978,2798,2584,15463,14192,5357,-1,7661,5952,6790,6351,7742,1699,2163,2386,7716,13768,6721,3201,6766,7042,6688,18820,14322,17263,18841,18968,20209,18962,18975,18976,4672,8621,5524,2943,-1,8366,4358,3151,7368,5831,4958
ポスター,ポスター,ポスター,2238,1844,4147,2894,497,2876,4170,342,4667,5635,8594,2907,978,1635,2188,6652,7773,-1,10468,3898,10691,6816,5910,-1,-1,9182,-1,-1,6888,24946,23377,3929,6136,8695,9740,4966,11058,10993,9435,10417,6681,22018,5521,4536,5101,5727,6250,9634,6130,6125,6193,3013,20830,19756,7102,-1,9631,4448,4814,6888,3528,5142
わん,わん,ワン,2249,2944,2647,2617,7639,2876,788,4014,2712,3517,5138,4109,2095,8574,1876,18163,8196,4793,18529,9355,983,15156,17579,2586,18049,17080,13132,11634,4361,13132,12307,11185,6863,7775,7704,9760,17965,-1,11719,11086,6982,2289,14931,10649,15081,14988,15149,16815,15138,15162,15161,6435,5490,12161,15730,7148,17475,7768,8673,10262,10436,8994
センター,センター,センター,2258,1086,1236,780,1231,1733,2405,1362,1896,1124,1727,887,885,1082,1077,416,2280,-1,816,606,2952,2140,1721,-1,-1,4981,-1,-1,3534,5789,5407,3139,14026,1774,2069,839,7490,797,5861,5503,5124,5280,1485,1867,1064,2000,782,1067,1628,2577,3054,867,3329,10250,2240,5362,3809,1040,5606,270,733,782
キング,キング,キング,2298,3170,2348,11364,7639,2876,4170,4014,1896,1734,3728,6998,11750,2009,8749,2293,1547,-1,13368,6078,2222,1444,1465,-1,-1,10130,-1,-1,8832,1964,1824,9538,8992,2234,2302,4511,-1,382,7494,5350,2271,18202,12831,12537,10554,12904,13113,3714,13087,13101,13112,3861,24462,3318,1510,-1,7019,3107,8601,2121,2106,4112
もち,もち,モチ,2325,16266,25005,5421,7639,2876,4170,4014,4667,16460,13585,5139,11750,21702,10747,7287,4695,3039,14065,19530,5267,7099,24172,8411,7043,3787,7682,3655,5466,17175,16094,3525,1780,15774,17713,4659,6178,22886,2405,9045,8805,563,15787,23260,11035,15831,15990,17538,15974,16004,16001,23918,636,2002,7391,-1,15390,3315,21517,8358,5715,6554
シン,シン,シン,2353,6881,6382,7212,7639,1733,4170,2391,2712,4323,8594,11052,11750,5523,8749,4642,2717,-1,8872,14739,-1,1742,1525,-1,-1,8165,23944,11276,8507,2595,2413,20632,1357,5372,6011,4844,-1,1088,-1,12189,3606,2626,9594,10413,7516,9711,10010,6290,9952,9991,9986,4901,3328,-1,1826,5922,4001,4435,-1,5117,1062,4909
プレート,プレート,プレート,2361,6059,5005,7212,7639,2876,4170,4014,4667,6699,4264,3399,11750,7239,5172,4603,13020,-1,11631,5359,21764,9936,7434,-1,-1,10686,-1,-1,7971,6812,6372,14082,12656,4970,5012,9564,23649,12993,12747,16764,6431,11025,7767,8675,5988,7918,8288,11107,8200,8254,8258,3894,13442,5565,10342,-1,8808,5913,8427,4965,3818,4710
リンク,リンク,リンク,2366,7460,13258,11364,1910,2876,4170,4014,4667,10817,13585,11052,2677,6269,8749,1645,5085,-1,9090,765,14001,6232,5783,-1,-1,23533,-1,-1,12272,6971,6526,18651,12182,2648,3091,278,-1,4258,19129,9085,3445,17088,2140,1217,7390,2554,3652,8186,3396,3100,3441,758,13851,6707,6504,-1,8002,754,10928,57,2203,1621
ギター,ギター,ギター,2372,4649,3547,11364,7639,2876,2405,4014,4667,6699,2091,6998,11750,4621,4755,1960,6483,-1,9355,3624,4552,3539,3374,-1,-1,8966,-1,-1,8621,12377,11605,1822,6190,5250,5620,3239,-1,506,9597,10712,2013,7212,2328,23184,1262,2722,3747,8234,617,3257,1202,1530,14136,21282,3709,7778,6899,3002,11038,1202,4493,5131
サークル,サークル,サークル,2388,1629,1437,1743,2913,2876,4170,848,1428,1566,1190,4109,2443,1415,1931,4620,9091,-1,9924,3348,9169,8581,7017,-1,-1,12378,-1,-1,8833,18611,17444,2658,10732,9053,7320,4632,2700,3823,14270,12335,4101,21329,2163,13176,1123,2577,3662,8192,3409,3119,1190,3408,16908,12606,8922,-1,6234,3818,8517,4595,7051,5893
スクリーン,スクリーン,スクリーン,2398,4649,5365,7212,1910,2876,4170,4014,4667,4323,8594,5139,2677,3486,7428,5012,12159,-1,12937,3929,19412,7974,6612,-1,-1,4446,-1,-1,5123,11596,10878,13570,16905,7863,7559,4990,19556,7832,4498,14736,16657,12323,6476,4677,7780,6658,2620,10224,6993,7022,2141,4125,14276,10664,8298,7761,5491,6683,10995,6093,5263,5429
ダウン,ダウン,ダウン,2409,4252,4377,4421,4754,1259,4170,4014,1896,5635,3728,3399,4541,4277,4411,3095,3272,-1,7397,2956,5743,5306,3854,-1,-1,11881,-1,-1,7761,2590,2408,4845,13732,2748,2929,3478,-1,2521,16062,6230,6291,9350,3015,2278,3161,3346,4185,5381,4030,3845,4087,2068,20592,6424,5555,473,7669,2754,6136,3406,7166,2488
ライオン,ライオン,ライオン,2421,2636,2348,11364,1587,2876,4170,4014,4667,2173,5138,1876,2281,2144,3401,6316,5470,-1,12523,7312,7039,3779,3458,-1,-1,6594,-1,-1,5803,7066,6617,4733,12319,3206,3837,8116,19985,3069,6505,9502,6388,18749,5130,5070,4117,5349,5915,9414,5794,5760,5841,5208,14992,4276,3960,-1,9488,4875,10836,4930,6570,5771
ビデオ,ビデオ,ビデオ,2427,1382,2107,3701,425,2876,4170,1118,2712,1433,2091,2907,803,1166,1635,1068,4768,-1,3979,1921,5761,2278,1890,-1,-1,4319,-1,-1,4505,5572,5206,3269,9509,1156,1389,1543,-1,445,4569,7476,3523,8452,1592,1868,1111,2084,2049,2782,1658,1322,3117,1266,10682,19514,2396,-1,4298,1933,6470,1192,1557,1330
ネットワーク,ネットワーク,ネットワーク,2430,5687,13258,7212,1459,2876,4170,4014,4667,8262,13585,11052,2095,3722,14260,1612,11835,-1,3486,1481,15033,9631,8009,-1,-1,15486,-1,-1,12124,22117,20735,19279,18962,2725,2999,1253,22411,1656,15607,11050,10892,10017,1311,753,6524,1857,3263,1946,2932,2440,2977,1780,4463,13534,10005,270,7193,2755,12753,1800,2956,1724
ちゅう,ちゅう,チュウ,2440,6059,4679,11364,7639,2876,4170,4014,2712,3517,6377,11052,11750,14238,4107,3253,1857,2110,11690,16517,19801,2181,4200,1494,5864,2291,11093,7075,1741,3838,3583,4826,1370,22417,16885,12657,5852,20116,2896,18913,10288,198,14048,12995,10051,14112,14288,16063,14274,14293,14297,12876,743,17330,2285,-1,8008,11113,1960,6566,18045,8845
タバコ,タバコ,タバコ,2446,910,761,1491,2913,2876,1050,4014,2712,682,846,887,2443,694,1423,7740,6138,-1,2479,2846,5409,2101,1958,-1,-1,3116,-1,-1,1861,9803,9193,5016,8124,1638,1906,3850,-1,5148,3333,8950,5483,2419,1461,5184,742,1979,3322,8044,3004,2559,3044,2770,3644,7686,2212,-1,4760,2753,3288,8701,4742,5259
