word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_LUW,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
あい,あい,アイ,8373,2278,1930,2894,4754,1733,1688,4014,4667,1566,2939,2276,3839,2144,2450,4482,2020,309,13594,15410,12577,236,3377,2844,2929,3826,1751,2073,1592,1751,1625,2003,3271,9115,8745,3023,229,4370,811,6245,2805,22914,12514,2204,22918,22994,23927,23005,23015,23022,8699,2008,3551,2254,3897,2806,748,4436,7944,2045
しんしん,しんしん,シンシン,8385,20704,17146,11364,7639,2876,4170,4014,2712,16460,13585,11052,11750,14238,21622,12513,19251,5786,3943,3943,3693,21501,15844,13076,13415,11141,23252,19862,11602,23252,21798,19090,9942,24810,24136,7583,24376,-1,11877,15462,16806,10424,11707,7908,10528,10801,13111,10754,10793,10787,7135,11024,16327,9743,8794,11658,7848,11805,8021,9015
かち,かち,カチ,8587,11455,17146,7212,3549,2876,4170,2391,4667,16460,13585,11052,4541,8574,14260,1915,2053,1212,1118,822,720,2093,1425,19861,1236,1949,18545,22358,15981,1876,1743,15492,2520,739,798,696,2050,23002,2485,12350,1866,1116,1014,1048,1701,3207,1005,1558,1271,844,20222,21662,1493,1024,1257,16295,18392,2826,1312,1000
おつ,おつ,オツ,8650,20704,25005,11364,4754,2876,4170,2391,4667,16460,13585,11052,11750,14238,21622,7123,16600,3349,11477,8565,10013,2852,17727,23452,24075,7878,17908,15700,5730,17908,16783,15083,17617,2011,2629,8347,9851,9851,3542,20944,12063,12520,6657,24268,12597,12809,14774,12784,12799,12817,3830,16026,16129,1665,8119,3826,22317,5026,6148,336
ばしゃ,ばしゃ,バシャ,8771,16266,13258,11364,7639,2876,4170,4014,4667,16460,13585,5139,11750,10632,21622,6940,10139,2481,6904,6724,16927,16254,6173,5284,5415,1675,8051,19998,3706,8051,7529,19221,7863,5706,5197,13249,9304,-1,1850,7694,8781,7367,23612,4696,7526,7914,10814,7826,7868,7885,17938,396,6406,-1,1697,11728,21214,8366,7920,15848
かま,かま,カマ,9711,16266,13258,11364,7639,2876,4170,4014,4667,16460,13585,5139,11750,21702,10747,14437,5981,4411,7466,17343,13840,14326,6101,16552,8095,8379,8602,9289,3463,8602,8048,22757,12956,1810,2286,10409,19713,-1,10081,10324,9572,17370,16597,12750,17400,17540,18928,17534,17543,17558,15353,3921,6360,-1,6810,9460,5682,14290,12069,24281
かぶ,かぶ,カブ,9931,20704,17146,11364,7639,2876,4170,4014,4667,16460,13585,6998,11750,21702,14260,3317,5630,2938,2303,1468,2789,3830,3861,14341,14722,5607,23163,11604,4729,23163,21713,11156,14210,4714,4746,17983,13598,375,4956,14247,9324,5604,5236,5230,862,6324,5807,6202,6201,6268,1213,9066,4011,4021,5745,20907,9599,2954,3884,17382
じく,じく,ジク,9943,20704,17146,11364,7639,2876,4170,4014,4667,16460,13585,6998,11750,21702,14260,2027,8565,4701,4062,3269,3841,13524,14742,9055,9289,7690,8378,6064,4472,8378,7840,5843,12210,9748,10571,3666,8782,23421,8146,19089,8679,1495,862,7087,2009,1210,3975,1631,2586,3058,3454,7800,15284,-1,6495,3355,6255,1970,4604,2500
むち,むち,ムチ,10354,20704,25005,7212,7639,2876,4170,4014,4667,16460,13585,6998,11750,21702,14260,19166,20816,2679,6860,8138,19385,16634,22182,23612,7554,3489,7015,19933,2756,17957,16831,19159,7405,7536,8895,17158,1886,-1,3981,11573,21660,9837,8747,8278,9953,10241,12676,10188,10223,10220,12494,3903,18449,-1,4628,13671,23625,10129,7383,10648
ぶし,ぶし,ブシ,10528,20704,17146,11364,7639,2876,4170,4014,4667,10817,13585,11052,11750,14238,21622,4187,3070,2079,3319,3271,8677,2588,7823,10518,10784,2346,4542,2103,11659,4542,4248,2033,4995,14074,15750,7340,22200,12152,2446,12704,4145,12293,13777,14972,12375,12586,2358,12565,12582,12596,8237,12145,7737,-1,23648,9565,7903,3199,8571,8438
