word,hiragana,katakana,BCCWJ_LUW_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ_SUW,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
間接的,かんせつてき,カンセツテキ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
当人,とうにん,トウニン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,2,2,1,2,2,3,2,2,4,2,2,2,3,1,1,2,1,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,3,2,1,1
入社する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
人質,ひとじち,ヒトジチ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,2,3,2,4,4,4,4,3,4,3,3,4,4,3,3,4,4,3,3,1,3,4,4,1,3,3,3,3,3,2,3,3,3,2,4,4,1,3,3,3,3,2,2
ふん,ふん,フン,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,3,2,1,4,4,4,4,5,4,4,5,5,4,4,3,3,3,3,1,3,4,5,5,4,2,3,4,4,4,5,5,5,3,4,4,3,4,3,4,2,3,4
並行する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
三日間,みっかかん,ミッカカン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
味醂,みりん,ミリン,3,3,3,3,3,4,3,3,3,2,3,4,3,2,4,1,2,1,3,2,1,4,2,2,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,4,1,1,2,1,1,1,2
ラスト,ラスト,ラスト,3,4,4,4,4,4,3,4,3,4,4,2,3,4,4,3,4,1,3,3,3,3,3,1,2,1,1,3,4,4,4,2,3,3,3,1,4,2,3,4,4,3,3,3,3,2,2,2,4,2,4,3,3,1,3,4,3,3,4,4
インフルエンザ,インフルエンザ,インフルエンザ,3,3,3,2,4,4,3,3,3,3,2,3,4,3,3,2,2,1,3,4,2,2,2,1,1,1,1,1,1,2,3,1,3,3,3,1,1,1,1,2,3,3,2,3,2,2,3,2,2,2,4,1,2,1,2,3,1,2,2,3
拡張する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
貨幣,かへい,カヘイ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,3,3,1,1,1,1,2,1,1,3,1,1,1,1,2,2,3,1,2,2,1,2,1,2,3,2,2,2,2,2,2,2,2,3,1,3,2,2,1,3,3,2
鴨,かも,カモ,3,4,4,2,3,4,5,3,4,2,2,3,2,3,4,2,2,4,3,2,5,2,2,3,2,2,2,3,2,2,2,2,2,2,2,1,1,5,2,2,5,2,2,3,2,4,2,2,2,2,3,3,2,1,2,2,3,2,3,2
グレー,グレー,グレー,3,4,4,4,4,4,4,3,4,4,2,4,3,4,4,3,2,1,3,3,2,3,3,1,2,1,1,3,2,2,1,2,3,3,3,1,2,3,2,2,4,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,2,2,4,3
集中力,しゅうちゅうりょく,シュウチュウリョク,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,3,1,1,1,1,1,1,1,1,1,3,1,1,1,3,1,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,3
伸一,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
十八世紀,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
西欧,せいおう,セイオウ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,1,1,3,1,1,1,1,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1
ばっちり,ばっちり,バッチリ,3,4,4,4,3,4,3,3,3,4,4,3,4,4,4,1,3,1,2,3,3,2,2,4,1,3,4,2,3,3,3,3,2,2,1,4,1,2,3,3,4,2,2,2,2,2,2,2,2,2,4,3,2,3,2,1,4,1,2,2
環境保全,かんきょうほぜん,カンキョウホゼン,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
近代的,きんだいてき,キンダイテキ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
高齢,こうれい,コウレイ,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,2,2,5,3,2,2,3,3,2,1,1,2,1,2,1,1,2,2,4,2,1,2,1,1,1,4,4,4,4,4,3,4,4,4,4,2,2,1,3,4,2,3,3,3
コンビ,コンビ,コンビ,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,4,3,1,3,3,3,3,3,1,2,1,1,3,3,4,3,3,2,3,3,1,2,2,3,3,4,2,1,2,2,2,2,2,2,2,3,3,3,3,2,3,3,4,3,3
事業費,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
十一：三十,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
十三：三十,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
掬う,すくう,スクウ,3,3,3,4,3,4,4,3,3,3,3,4,2,3,3,1,3,1,3,2,1,2,2,2,2,3,3,3,3,3,3,3,1,1,1,3,1,1,2,3,4,3,2,3,3,3,3,3,3,3,2,3,2,1,2,1,4,1,1,2
第二部,だいにぶ,ダイニブ,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
長引く,ながびく,ナガビク,3,2,1,3,3,4,3,4,3,2,2,2,2,2,2,1,3,1,2,3,3,3,3,3,2,3,3,2,3,3,3,3,1,1,2,3,1,2,3,3,1,2,2,2,2,2,2,2,2,2,2,3,3,1,2,1,3,2,2,3
投げ付ける,なげつける,ナゲツケル,3,2,3,2,3,4,3,3,3,2,3,2,2,2,2,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,4,1,1,1,1,3,1,1,1
七十年代,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
免除する,-,-,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
