word,hiragana,katakana,BCCWJ_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
余る,あまる,アマル,3,4,1,3,1,3,4,3,3,4,3,3,3,4,3,3,3,4,3,1,1,2,4,1,5,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,2,4,2,3,4
受賞,じゅしょう,ジュショウ,3,4,5,2,1,4,3,3,3,1,3,2,2,2,3,2,2,2,2,3,3,4,2,5,2,2,3,1,2,3,2,3,3,3,2,3,5,3,4,4,2,3,1,3,4,2,5,3,3
今週,こんしゅう,コンシュウ,3,4,1,4,1,4,4,4,4,1,4,2,3,3,2,3,3,3,3,4,4,4,2,1,2,3,4,1,1,2,1,3,2,4,2,2,2,2,4,1,2,4,1,2,4,3,2,4,4
切り,きり,キリ,3,3,3,3,1,2,2,3,2,4,2,3,3,3,5,2,2,2,3,3,3,4,3,1,2,4,2,5,4,4,3,4,3,3,3,3,3,3,3,4,3,2,3,2,4,3,3,4,4
込む,こむ,コム,3,2,1,4,1,3,4,3,3,5,3,4,4,3,4,4,4,3,4,1,1,2,5,1,4,2,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,4,2,4,3,4,3
義務付ける,ぎむづける,ギムヅケル,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1
んっ,んっ,ンッ,3,1,1,1,1,1,1,1,5,1,5,1,5,5,1,5,5,5,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,3,2,2,2,4,1,1,1,3,4,1,1,1,1,4
ディスク,ディスク,ディスク,3,2,4,3,1,3,1,2,2,1,1,2,1,1,2,2,2,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,3,2,2,2,2,2,4,2,2,2,1,2,3,2,4,2,3
スムーズ,スムーズ,スムーズ,3,3,2,2,1,4,2,2,2,3,1,2,1,1,2,2,2,2,3,2,2,3,4,1,2,2,2,4,1,3,3,4,3,3,3,4,3,3,3,1,3,2,1,3,2,3,2,4,4
ユダヤ人,ユダヤじん,ユダヤジン,3,1,1,1,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,2,4
生き生き,いきいき,イキイキ,3,2,1,2,1,3,2,2,2,4,2,3,2,3,3,2,2,3,2,2,2,2,2,1,3,2,2,2,2,3,2,3,3,3,4,4,3,4,3,2,3,2,1,2,2,3,2,2,2
這う,はう,ハウ,3,2,1,2,1,2,4,2,2,4,2,4,2,2,3,2,2,3,4,1,1,1,4,1,5,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,4,1,4,2,3,2
物件,ぶっけん,ブッケン,3,4,3,3,2,5,3,3,3,1,3,2,2,2,2,2,2,2,2,3,3,4,2,1,2,2,3,1,2,3,2,3,3,3,2,3,3,3,4,3,3,3,1,3,3,2,2,3,3
うう,うう,ウウ,3,5,1,1,1,2,1,1,5,3,5,1,5,5,3,5,5,5,1,3,3,1,1,1,1,2,3,1,1,2,2,3,2,2,2,4,2,2,4,1,2,1,4,3,3,3,1,1,3
養成,ようせい,ヨウセイ,3,3,4,2,3,3,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,3,2,1,2,2,1,2,3,3,3,3,3,3,3,3,3,4,3,3,2,2,1,2,3,2,4,3,3
加盟,かめい,カメイ,3,2,4,1,2,3,1,1,2,1,2,2,2,1,2,2,2,1,1,2,1,3,1,1,1,1,1,1,2,3,2,3,3,2,2,2,2,2,3,3,2,1,1,2,3,1,4,3,3
霊,れい,レイ,3,3,3,4,4,3,4,4,4,1,4,4,5,4,4,5,5,4,4,3,3,3,3,2,4,3,5,3,4,3,2,3,3,3,2,3,3,3,3,4,4,4,1,4,4,3,4,3,4
機種,きしゅ,キシュ,3,2,4,2,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,3,2,1,2,2,2,2,1,3,2,3,3,3,2,3,3,3,4,2,1,2,1,2,4,2,4,3,3
兎,うさぎ,ウサギ,3,4,2,2,5,3,5,3,2,3,4,3,3,4,3,3,3,2,3,2,2,2,2,1,3,3,3,1,3,4,3,4,3,3,3,3,3,3,4,3,4,2,1,3,3,4,2,2,2
あれ,あれ,アレ,3,5,4,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4,5,5,5,5,5,5,2,5,5
土曜日,どようび,ドヨウビ,3,1,1,3,3,4,3,3,1,1,1,3,1,1,1,1,1,1,3,1,1,4,2,4,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,3,1,4,1,4,4,4
一位,いちい,イチイ,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
見張る,みはる,ミハル,3,1,1,4,1,2,4,4,4,5,4,4,4,3,4,4,4,3,3,1,1,2,3,1,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,1,4,1,2,2
そっち,そっち,ソッチ,3,5,1,5,4,2,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,1,1,4,5,5,5,2,5,4,5,4,5,4,5,5,5,4,2,5,5,4,4,4,5,1,5,4
周波,しゅうは,シュウハ,3,2,4,1,1,1,1,1,3,1,3,1,2,1,2,2,2,1,1,3,3,2,1,1,1,1,1,1,1,5,5,3,4,5,3,4,4,4,3,1,2,1,1,2,1,2,2,1,1
消化,しょうか,ショウカ,3,3,3,2,3,4,2,2,3,1,3,2,3,3,3,3,3,3,2,3,3,3,4,1,2,2,3,3,3,3,2,4,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3
敷地,しきち,シキチ,3,4,4,2,2,3,2,3,3,1,3,3,3,2,3,3,3,2,3,3,3,3,2,1,3,2,2,1,2,3,2,3,3,4,3,3,3,3,3,3,3,3,1,3,3,3,4,3,2
周年,しゅうねん,シュウネン,3,3,4,3,2,4,3,3,3,1,3,2,2,2,2,2,2,2,1,2,2,4,1,1,2,2,1,1,2,3,2,4,3,3,3,3,3,3,4,2,2,3,1,2,1,2,4,4,4
欠かす,かかす,カカス,3,2,1,2,1,4,1,2,2,4,3,2,2,2,3,2,2,2,2,1,1,1,3,1,1,2,2,3,1,3,3,4,3,3,3,3,3,3,3,1,3,2,3,2,1,3,2,2,2
