word,hiragana,katakana,JPDB_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
さん,さん,サン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
だけ,だけ,ダケ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
いい,いい,イイ,5,3,4,3,4,4,3,3,4,3,4,2,3,4,3,4,5,4,2,5,5,5,5,2,5,3,3,5,5,5,5,5,2,2,5,1,2,5,5,5,3,2,4,3,4,3,3,3,3,2,3,5,5,5,5,4,4,5,5
くれる,くれる,クレル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,2,5,5,5,5,3,5,3,3,5,5,5,5,5,1,1,5,3,1,5,5,5,2,2,3,2,2,2,2,2,2,2,3,5,5,5,5,4,4,5,5
これ,これ,コレ,5,2,3,2,3,4,3,3,3,2,3,2,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
だろう,だろう,ダロウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
けど,けど,ケド,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,3,5,5,5,5,1,5,1,1,5,5,5,5,5,5,5,5,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,3,5,5
しまう,しまう,シマウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,3,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
そんな,そんな,ソンナ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
やる,やる,ヤル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
わ,わ,ワ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,3,3,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,5,5
だから,だから,ダカラ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,5,1,1,5,1,1,1,1,1,1,5,2,2,5,1,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,2,5,1
まで,まで,マデ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
し,し,シ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
もの,もの,モノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,2,2,3,3,4,5,5,5,4,5,5,5,5,5,5,5,5,5
ん,ん,ン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,1,5,1,1,1,5,5,5,5,5,5,5,1,4,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,5,5,5
あの,あの,アノ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
なら,なら,ナラ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4,2,3,5,5,1,2,3,1,2,5,2,2,2,4,5,5,5,2,3,5,5,4,2,1,2,2,2,4,2,2,2,2,1,5,1,3,5,1,4,3,3
という,という,トイウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,5,5,1
もう,もう,モウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
じゃない,じゃない,ジャナイ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ここ,ここ,ココ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
いく,いく,イク,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
とする,とする,トスル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,1,1,2,1,2,2,3,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,3,1,1,1
ああ,ああ,アア,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,4,5,5,5,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,4,2,5,5
ような,ような,ヨウナ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
お,お,オ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,3,5,5,5,5,3,5,5,2,4,5,5,5,5,5,5,5,3,3,5,5,5,3,3,2,3,3,2,3,4,4,3,3,5,5,5,5,3,5,5,5
とは,とは,トハ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
なんて,なんて,ナンテ,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,4,5,5,5,5,5,5,5,5,1,5,5,5,5,1,3,5,5
や,や,ヤ,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ように,ように,ヨウニ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ながら,ながら,ナガラ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,4,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,3,5,5,5
へ,へ,ヘ,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,5
そして,そして,ソシテ,5,5,5,5,4,4,4,4,5,5,5,5,5,4,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,5,5,5,1,5,5,5,5,1,5,5,5
ぞ,ぞ,ゾ,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,3,5,1,5,4,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,1,5,5,5,4,4,4,4,4,4,5,5,4,5,1,5,5,5,5,1,4,5,5
こんな,こんな,コンナ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
だが,だが,ダガ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,4,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,4,3,1
にも,にも,ニモ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
である,である,デアル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
どう,どう,ドウ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
いや,いや,イヤ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,3,5,4,4,3,5,5,5,4,5,5,5,5,5,5,2,5,5
なの,なの,ナノ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
はい,はい,ハイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,3,2,5,5
ちょっと,ちょっと,チョット,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
とか,とか,トカ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,2,1,1,5,5,1,1,5,1,1,2,1,1,1,5,2,2,5,1,4,5,5,5,1,1,2,1,1,1,1,1,1,1,2,5,1,2,5,1,3,5,1
さ,さ,サ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
まだ,まだ,マダ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
のに,のに,ノニ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,5,1,1,5,1,1,1,1,1,1,5,1,1,5,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,4,5,1
じゃ,じゃ,ジャ,5,3,3,4,4,4,3,4,4,3,4,4,3,4,3,4,5,1,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,2,5,5,5,3,4,3,3,3,4,4,3,3,4,2,5,5,5,5,3,4,5,5
また,また,マタ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
だって,だって,ダッテ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,4,1,5,5,2,1,5,1,1,1,2,2,2,5,1,2,5,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,5,1,2,5,1,2,5,2
できる,できる,デキル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
いう,いう,イウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
うん,うん,ウン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,4,2,5,5
たち,たち,タチ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ため,ため,タメ,5,3,3,3,3,4,3,3,3,3,2,3,2,2,3,5,5,5,5,5,3,5,5,2,5,2,2,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,2,5,5,5
そこ,そこ,ソコ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,5,5,5,4,5,4,4,5,5,5,5,5,5,5,5,4,1,2,5,5,4,3,4,5,3,5,4,4,4,3,4,5,5,5,5,4,4,5,5
ではない,ではない,デハナイ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
もらう,もらう,モラウ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5
あっ,あっ,アッ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,4,1,5,5,5,4,5,5,3,5,5,5,5,5,5,5,1,2,1,5,5,5,4,5,5,4,5,5,5,5,5,1,5,5,5,5,1,2,5,5
みる,みる,ミル,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ちゃん,ちゃん,チャン,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ですか,ですか,デスカ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
みたい,みたい,ミタイ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5
ところ,ところ,トコロ,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
