word,hiragana,katakana,BCCWJ_rank,cejc_combined_rank,cejc_small_talk_rank,cejc_consultation_rank,cejc_meeting_rank,cejc_class_rank,cejc_outdoors_rank,cejc_school_rank,cejc_transportation_rank,cejc_public_commercial_rank,cejc_home_rank,cejc_indoors_rank,cejc_workplace_rank,cejc_male_rank,cejc_female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,HINGSTON,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JLAB,JPDB,KOKUGOJITEN,MALTESAA_CSJ,MALTESAA_CSJ_DOKWA_GAKKAI,MALTESAA_CSJ_DOKWA_MOGI,MALTESAA_CSJ_DOKWA_ROUDOKU,MALTESAA_CSJ_DOKWA_SAIRO,MALTESAA_CSJ_DOKWA_SONOTA,MALTESAA_CSJ_TAIKA_JIYU,MALTESAA_CSJ_TAIKA_KADAI,MALTESAA_CSJ_TAIKA_MOGI,MALTESAA_NWJC,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,RSPEER,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
ウメダ,うめだ,ウメダ,24191,4880,3730,11364,7639,2876,4170,4014,4667,2435,6377,11052,11750,3722,7428,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20415,18054,24680,20428,20534,21661,1409,20541,20553,10141,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
テール,テール,テール,24192,20704,17146,11364,7639,2876,4170,4014,4667,10817,13585,11052,11750,14238,21622,10388,12328,-1,12771,-1,18518,12982,-1,-1,17781,-1,-1,10333,20349,19072,7157,-1,19125,13794,12040,-1,16014,18850,19413,9593,9317,-1,9930,24212,7239,10043,10333,3663,10279,10313,10307,6753,-1,5194,19068,-1,7615,9642,11570,10239,17005,9961
ボイス,ボイス,ボイス,24193,11455,10802,11364,4754,2876,4170,4014,4667,16460,6377,6998,7431,8574,14260,6710,10160,-1,7671,10262,14802,10771,-1,-1,18134,-1,-1,20423,-1,24986,10418,20611,23579,24848,12965,-1,6103,18096,22844,16690,7223,-1,3315,1931,10316,3630,4409,3386,4269,4107,4323,4166,-1,12795,15297,8553,11411,6286,11684,5105,3367,6988
カサイ,カサイ,カサイ,24194,10047,7993,11364,7639,2876,4170,4014,4667,4862,13585,11052,11750,21702,6427,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5864,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15964,14089,13634,16005,16164,17690,16147,16175,16175,20677,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
利率,りりつ,リリツ,24195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10542,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14869,-1,-1,-1,-1,-1,-1,16728,-1,-1,21109,-1,-1,-1,-1,-1,-1,11015,13912,-1,-1,-1,-1,-1,-1,-1,-1,-1
ユース,ユース,ユース,24196,11455,9191,11364,7639,2876,4170,4014,4667,16460,13585,3399,11750,10632,10747,3031,13138,-1,7983,-1,22829,19979,-1,-1,-1,-1,-1,-1,12705,11913,-1,24768,-1,-1,8863,-1,4836,16920,-1,-1,16788,-1,4848,13254,2927,5080,5675,9254,5551,5501,5591,8590,-1,-1,23456,-1,23401,10918,-1,2416,-1,9037
焼き蕎麦,やきそば,ヤキソバ,24197,4442,5365,2363,7639,2876,4170,4014,4667,3517,4264,3399,7431,5029,4107,-1,-1,-1,14497,-1,-1,-1,-1,13492,-1,7295,2886,-1,-1,-1,20093,-1,-1,-1,-1,-1,-1,-1,-1,-1,14500,-1,8583,16599,5838,8715,9055,11718,8981,9022,9029,5156,-1,15224,-1,-1,-1,-1,6974,-1,-1,-1
続,ぞく,ゾク,24198,20704,17146,11364,7639,2876,4170,4014,4667,10817,13585,11052,11750,21702,14260,5926,6652,256,14339,10992,10678,12063,3156,12370,9493,-1,24323,9463,-1,-1,12159,16758,959,1016,7706,10342,2217,11083,1773,-1,7677,1697,-1,15622,19180,-1,-1,-1,-1,-1,-1,9041,1497,22578,11089,4518,13845,9272,23893,3442,13294,16418
ミツオ,みつお,ミツオ,24199,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5473,-1,-1,-1,5277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
カズミ,カズミ,カズミ,24200,10047,17146,3701,7639,2876,4170,4014,4667,16460,4264,6998,11750,8574,10747,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6968,-1,-1,-1,6705,-1,-1,-1,-1,-1,-1,-1,-1,-1,22385,-1,-1,-1,20971,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
