word,JPDB_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
じみ,21377,3492,17199,13419,4007,10684,5992,3882,7426,6461,1990,6622,6159,4902,3169,4525,4902,4572,3056,6105,8357,9219,6442,-1,4936,13721,21337,21901,3064,7729,8484,4702,4190,14118,3136,49430
たいこ,21557,3704,6504,23584,2587,10164,9258,1462,8927,11074,-1,11360,6575,17726,5739,3256,17726,16616,5534,11890,13843,13250,7061,17495,2656,14540,6388,10556,10141,9289,9102,6906,9260,6469,4965,34966
さんかく,21637,1367,3409,14207,3985,7905,10288,16776,9960,5701,-1,5846,7731,14104,3079,3552,14104,13226,20025,14268,7806,7527,8940,-1,11484,13884,9471,10220,6437,10256,-1,4819,5084,6774,8867,48423
こんや,21649,13446,17256,1002,730,4850,5197,888,496,16538,-1,511,1060,2032,1893,760,2032,1885,1829,1617,395,445,1205,24183,1091,1406,7995,8575,3695,516,-1,1626,1306,8746,6157,82606
けはい,21670,8967,23331,3136,2144,4510,5440,5177,4616,4094,-1,4195,1114,1146,2293,793,1146,1062,2222,1031,6761,6828,3564,-1,1160,2472,6755,6894,627,4817,-1,1010,833,19548,6398,162169
ちきゅう,21677,3170,875,477,2939,2313,1525,2720,927,13089,-1,808,1461,549,2208,2261,549,506,2137,3519,12386,14910,4562,4730,1676,2433,1916,1698,2146,963,526,1404,3610,799,749,64921
くうき,21696,1822,2238,1650,683,2308,1613,2060,1595,24967,-1,1489,965,1332,1322,668,1332,1237,22441,671,1804,1803,954,11764,1056,1490,1352,1216,602,1676,2637,756,499,2569,1461,60565
ようち,21739,1302,4386,17817,3670,5000,13990,15818,9928,3708,1988,3807,14683,8809,2920,4380,8809,8248,2818,16388,8548,8431,10516,-1,15150,15047,9390,8870,17373,9189,-1,5578,11996,7601,4879,69258
がんじょう,21831,16266,16452,10138,3984,19782,12282,14075,8627,7441,2006,7621,6964,5430,13161,4455,5430,5070,12654,8949,8692,8961,7955,-1,6664,6999,20689,19503,3268,8977,3674,7514,6459,17362,11813,157875
しょうち,21902,8120,19463,1990,624,4583,5587,2053,1939,1856,-1,1909,1203,2479,4691,873,2479,2301,4520,2678,1793,1788,2648,-1,1380,2149,5355,4250,2297,2038,4503,1795,2222,20772,9726,86770
じだい,21916,420,71,818,248,469,311,979,882,23708,-1,679,411,715,1232,258,715,661,1187,1779,839,939,4137,2739,564,1191,606,389,1062,925,3517,432,1139,89,340,334
ひこう,21920,905,548,4890,6536,2978,5616,9030,4198,17658,-1,1015,3420,2453,2914,1789,2453,2278,2813,7006,660,695,12767,22178,5183,5551,7562,5553,2259,4348,303,1302,5886,1020,2642,47000
