word,JPDB_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
だけ,33,96,238,74,-1,106,57,73,66,60,53,66,67,62,73,24,62,57,68,48,78,89,-1,-1,34,85,272,195,-1,66,118,58,-1,262,55,67
いい,34,4442,1152,36,1703,20628,213,51,31,29,3384,16719,76,5159,9899,31,41,38,29,42,17211,16181,-1,24573,83,46,437,387,4367,31,54,66,3688,1349,68,48
だろう,37,-1,1844,-1,-1,-1,-1,252,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,113,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
けど,38,-1,5686,53,-1,6669,273,40,57,55,-1,-1,146,-1,-1,218,69,63,40,41,88,96,-1,-1,123,70,9780,10553,-1,57,85,95,-1,7056,27,32
そんな,40,128,2551,76,-1,276,148,65,101,119,79,126,121,93,94,53,93,85,87,57,119,131,-1,-1,68,90,3130,3993,36,102,132,85,34,3555,97,129
だから,43,-1,-1,138,-1,508,-1,60,142,-1,-1,-1,247,-1,-1,-1,-1,-1,-1,106,16377,16789,-1,2529,89,98,10146,20593,-1,150,-1,-1,-1,15215,79,-1
まで,44,112,44,75,1118,87,47,91,76,71,51,78,58,61,84,23,61,56,77,55,87,100,12804,688,33,97,111,82,-1,78,112,59,-1,41,76,70
ん,47,82,306,11,-1,3051,132,37,17,20,-1,-1,28,-1,-1,-1,16,16,14,12,18,21,-1,2888,147,18,24,47,-1,17,20,35,-1,272,17,19
あの,48,31,4382,54,-1,16210,1034,39,84,87,83,94,83,83,97,39,83,76,90,84,103,118,-1,10248,25,65,2244,1999,88,86,94,107,50,3055,128,103
なら,49,-1,281,1502,3787,13622,8564,97,890,-1,-1,15629,8739,-1,22406,22,23482,22014,11371,1054,79,92,12589,7520,109,95,1042,23006,-1,940,-1,6206,-1,1242,9880,115238
という,50,-1,-1,111,-1,51,-1,135,164,-1,-1,-1,38,-1,-1,-1,-1,-1,-1,69,-1,-1,-1,86,10,163,154,55,-1,173,-1,-1,-1,47,21,-1
じゃない,52,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
とする,55,-1,-1,-1,-1,13385,-1,410,-1,-1,6340,-1,-1,10101,-1,22443,10101,9472,-1,-1,-1,-1,-1,585,88,838,-1,-1,12074,-1,-1,23393,9975,-1,-1,60196
ような,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4968,239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
とは,59,-1,-1,-1,-1,-1,-1,109,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,48,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
なんて,60,295,10589,94,-1,471,317,83,106,115,148,122,202,109,104,192,109,100,97,90,151,168,-1,-1,156,106,11017,10444,-1,108,171,166,-1,8470,359,363
ように,62,-1,-1,-1,-1,-1,-1,1309,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3110,224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ながら,63,284,258,464,-1,173,115,641,463,421,60,438,75,467,499,27,467,431,477,79,592,617,-1,-1,37,3930,407,300,5810,483,412,71,4334,378,170,152
へ,64,440,43,90,-1,94,80,100,70,73,38,80,43,99,184,-1,99,90,175,65,92,102,-1,1995,-1,102,50,43,-1,71,41,57,-1,39,133,148
そして,65,784,317,174,-1,185,137,268,194,205,84,214,122,164,335,61,164,151,319,125,131,143,-1,37,61,221,22647,10977,-1,204,391,113,-1,499,93,69
ぞ,66,623,6472,60,-1,858,1494,81,50,51,133,57,209,48,77,-1,48,45,72,101,71,82,-1,-1,155,61,123,170,-1,49,173,197,-1,3455,291,253
こんな,67,230,7635,114,-1,435,272,122,143,162,130,171,198,111,127,108,111,102,120,128,175,193,-1,-1,167,114,6823,6719,155,149,121,169,80,6996,154,125
だが,68,-1,-1,289,-1,612,-1,368,189,-1,-1,-1,191,-1,-1,-1,-1,-1,-1,261,-1,-1,-1,74,63,295,-1,-1,-1,195,-1,-1,-1,2436,4931,-1
にも,69,-1,-1,-1,-1,-1,-1,20773,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1177,-1,242,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
である,70,-1,-1,-1,-1,50,-1,491,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,11,23,573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
なの,73,-1,-1,-1,-1,-1,-1,12249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,22638,23478,-1,-1,7601,134,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
とか,76,-1,12803,154,14492,-1,-1,106,170,-1,-1,-1,215,-1,-1,20824,-1,-1,-1,114,23516,23627,-1,2269,146,174,4176,2230,20753,180,-1,22946,-1,6968,32,34040
のに,79,-1,-1,134,-1,-1,-1,101,107,-1,-1,-1,182,-1,-1,-1,-1,-1,-1,113,-1,-1,-1,-1,96,142,1517,961,-1,110,-1,-1,-1,3553,268,-1
じゃ,80,4252,3438,26,-1,2391,3343,23,34,211,192,220,65,123,450,3765,123,114,202,36,47,56,-1,24371,52,161,406,893,20529,35,236,222,8053,2190,52,285
だって,82,-1,-1,91,-1,2977,-1,84,124,18241,-1,-1,173,-1,-1,-1,13191,12365,19946,94,-1,24915,-1,-1,165,151,11013,6935,-1,131,-1,16298,-1,11148,302,18383
ではない,89,-1,-1,-1,-1,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2767,-1,526,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
あっ,91,28,40,37,-1,1886,1410,-1,68,76,-1,83,1448,43,40,6632,43,40,36,60,844,615,-1,20042,-1,56,8759,20362,-1,69,608,512,-1,11079,319,193
ちゃん,93,83,1863,70,-1,570,437,59,152,95,150,102,287,74,39,648,74,68,35,73,450,389,-1,12863,258,127,8359,8187,97,160,767,155,25,725,934,232
ですか,94,-1,-1,-1,-1,-1,-1,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,452,164,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
みたい,95,59,9757,137,-1,443,345,115,123,125,163,132,246,184,125,212,184,169,118,110,159,174,-1,-1,187,172,12342,12543,134,133,188,213,67,9333,60,88
ので,97,-1,-1,282,-1,-1,-1,162,282,-1,-1,-1,130,-1,-1,-1,-1,-1,-1,205,-1,-1,-1,4984,17,297,445,375,-1,295,-1,-1,-1,455,48,-1
あれ,98,185,1416,109,-1,8138,2566,114,163,194,172,543,262,296,235,106,124,115,137,223,251,262,-1,18105,269,112,2328,2331,159,174,117,268,135,11366,186,191
かな,99,4442,15549,3429,3253,15974,11667,130,6647,10793,3607,17338,5311,2803,6401,2857,2803,23488,6164,1905,3397,2927,-1,8147,320,13248,3597,3210,9631,6978,8233,18372,10977,7695,4035,2565
よね,101,-1,-1,-1,-1,-1,-1,66,-1,-1,-1,-1,21483,-1,-1,-1,-1,-1,-1,10742,-1,-1,-1,-1,772,195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
らしい,102,249,4119,301,-1,528,511,672,317,398,102,415,145,393,386,83,393,364,366,187,-1,-1,-1,19300,260,318,884,987,499,335,165,149,465,1097,640,407
しかし,106,3704,111,217,-1,178,217,300,355,345,81,360,115,190,435,71,190,175,415,208,254,256,-1,4,56,347,9345,5711,-1,375,321,126,-1,164,342,303
として,107,-1,-1,185,-1,92,-1,181,212,-1,-1,-1,107,-1,-1,-1,-1,-1,-1,130,-1,-1,-1,78,54,296,49,34,-1,221,-1,-1,-1,24,70,-1
かもしれない,110,-1,-1,-1,-1,546,-1,360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,159,448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
など,111,952,28,306,15617,72,39,392,348,343,94,358,133,252,568,72,252,234,546,201,555,589,-1,50,69,425,14,13,-1,369,607,127,-1,29,131,120
なんだ,113,8120,-1,92,-1,-1,21370,85,139,20924,3069,21486,3837,10998,11767,8404,10998,10319,11317,87,-1,-1,4475,-1,255,99,6872,7468,-1,146,-1,13863,-1,-1,213,27424
でしょう,114,-1,7183,-1,-1,-1,-1,231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,288,238,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
だけど,117,-1,-1,732,-1,-1,-1,177,931,-1,-1,-1,1317,-1,-1,-1,-1,-1,-1,380,-1,-1,-1,20330,488,262,-1,-1,-1,984,-1,-1,-1,-1,803,-1
まあ,120,45,-1,165,-1,806,759,149,195,192,113,201,282,199,112,216,199,182,105,195,345,340,-1,17284,287,271,5036,5141,73,205,653,321,49,18103,123,117
ください,121,-1,8981,-1,-1,-1,-1,68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,220,2612,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ええ,129,68,-1,202,-1,2085,5675,142,165,164,-1,173,424,325,231,434,325,300,220,275,150,170,-1,-1,394,259,10130,19248,-1,172,687,499,-1,15588,1792,614
もっと,132,269,4559,224,-1,646,386,272,219,227,250,237,415,235,223,270,235,218,212,172,214,243,-1,10899,406,235,9795,9022,360,229,332,377,116,4582,369,282
ずっと,133,211,5827,278,-1,917,650,240,285,283,258,296,460,356,228,279,356,328,217,227,293,325,-1,21900,450,302,6491,5202,381,302,1516,367,149,5722,445,316
どうして,135,-1,-1,197,-1,1113,-1,195,305,-1,-1,-1,312,-1,-1,-1,-1,-1,-1,236,-1,-1,321,-1,284,265,6022,6444,-1,320,-1,-1,-1,16732,1232,-1
いつも,136,-1,-1,258,-1,-1,1082,356,249,-1,-1,-1,270,-1,-1,-1,-1,-1,-1,207,-1,-1,23714,21177,351,293,2160,1826,-1,261,512,-1,-1,3019,609,397
のように,138,-1,-1,-1,-1,-1,-1,905,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15750,-1,-1,-1,750,102,3276,-1,-1,-1,-1,-1,-1,-1,-1,24437,-1
やっぱり,139,-1,22853,194,-1,935,2395,230,366,361,-1,-1,655,-1,-1,-1,275,255,168,211,1261,1188,118,-1,659,236,-1,22828,-1,389,892,480,-1,17863,206,167
つもり,140,964,5086,270,-1,992,1536,-1,318,316,-1,330,341,266,396,214,266,248,376,290,203,241,-1,-1,-1,306,5515,6300,221,336,2085,345,206,6396,1095,1532
じゃないか,141,-1,-1,-1,-1,-1,-1,304,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,403,605,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
こちら,143,-1,2715,277,-1,-1,602,293,436,433,-1,-1,386,-1,-1,152,496,455,717,357,336,386,-1,-1,400,441,3449,2857,-1,458,192,322,-1,2277,159,90
ばかり,146,433,2088,541,-1,405,417,658,410,395,125,412,180,542,575,104,542,499,551,321,560,583,-1,-1,151,478,632,503,-1,434,617,208,-1,2403,775,1020
きっと,147,-1,18977,299,3610,-1,2537,403,360,352,-1,-1,496,-1,-1,319,369,340,276,266,453,499,-1,14415,486,286,9245,9942,-1,379,606,428,-1,14198,3002,1195
えっ,149,55,-1,68,-1,3964,4405,41,131,143,-1,150,1678,75,69,1369,75,69,64,194,816,716,-1,-1,1766,123,10831,-1,-1,137,1580,945,-1,24237,538,306
ちゃんと,150,210,19729,252,-1,1603,976,213,449,449,428,467,740,454,224,525,454,419,213,233,670,663,46,-1,721,390,-1,23824,503,473,710,650,180,10826,296,289
ようだ,151,-1,-1,-1,-1,-1,-1,1860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16374,18637,-1,-1,842,633,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
すぐに,152,-1,-1,-1,-1,-1,-1,518,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15711,-1,-1,-1,11493,331,501,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
どんな,153,581,5815,276,-1,548,302,317,272,298,184,311,324,336,354,174,336,310,337,367,213,244,-1,-1,294,308,4273,3016,440,285,667,330,283,5866,377,355
なんで,154,-1,-1,271,-1,-1,-1,76,389,-1,-1,-1,1357,-1,-1,-1,-1,-1,-1,269,-1,-1,893,-1,447,276,-1,-1,-1,412,-1,-1,-1,-1,372,-1
による,155,-1,-1,1221,-1,248,-1,711,1224,-1,-1,-1,963,-1,-1,-1,-1,-1,-1,1515,-1,-1,-1,279,202,1113,243,147,-1,1292,-1,-1,-1,76,581,-1
へと,157,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1676,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
だろうか,158,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1785,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
うち,159,711,285,161,-1,-1,955,-1,225,431,4561,6225,171,5166,3277,98,349,321,289,337,414,451,-1,3522,-1,245,119,137,12839,234,1080,216,6812,417,486,386
となる,161,-1,-1,-1,-1,-1,-1,2298,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,123,1170,925,-1,-1,-1,-1,-1,-1,-1,-1,-1,139515
やめる,164,-1,18125,159,-1,-1,4428,588,118,118,7314,22476,607,21913,21630,-1,173,160,192,347,-1,-1,3447,-1,4799,202,1798,1571,-1,122,342,528,21713,6214,631,500
まさか,165,1483,19083,250,-1,3418,2927,367,316,315,461,329,858,209,345,581,209,192,328,414,769,784,-1,-1,903,269,14770,14542,334,334,1228,593,291,-1,3047,1971
なのに,166,-1,-1,1127,-1,12719,-1,-1,1097,-1,-1,-1,5431,-1,-1,-1,-1,-1,-1,992,-1,-1,-1,-1,-1,432,-1,-1,-1,1165,-1,-1,-1,-1,3571,-1
ことになる,167,-1,-1,-1,-1,294,-1,1050,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,558,420,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
それでも,168,-1,-1,906,-1,1129,-1,930,1046,-1,-1,-1,479,-1,-1,-1,-1,-1,-1,328,-1,-1,536,1036,468,754,21957,18421,-1,1102,-1,-1,-1,4192,1139,-1
よりも,169,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5109,-1,1279,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
にとって,170,-1,-1,585,-1,449,-1,597,609,-1,-1,-1,329,-1,-1,-1,-1,-1,-1,399,-1,-1,550,-1,307,797,4275,3249,-1,636,-1,-1,-1,1368,494,-1
そういう,172,-1,-1,209,-1,-1,-1,5082,346,-1,-1,-1,244,-1,-1,-1,-1,-1,-1,140,-1,-1,141,-1,2857,312,3485,2530,-1,371,-1,-1,-1,12464,66,-1
ありがとう,173,186,13721,113,-1,1487,742,128,113,114,-1,121,1118,263,133,674,263,245,124,250,123,136,188,2979,1415,218,20158,15363,-1,117,101,573,-1,7875,285,141
さっき,174,271,-1,302,4972,3499,4120,429,459,440,-1,457,523,256,271,341,256,238,258,235,891,912,18840,-1,553,336,18686,22614,434,481,1842,466,157,-1,360,371
かも,176,3492,17818,141,3823,16823,14361,374,119,17844,14867,6148,149,10751,16732,8515,20274,19000,21252,105,12817,13029,-1,-1,807,370,1279,1408,6792,124,-1,19038,6562,3386,187,47764
こそ,177,497,2251,254,-1,658,523,510,374,251,201,263,356,243,326,211,243,225,310,240,398,422,-1,-1,479,332,657,564,18697,397,447,272,19311,2656,590,459
あんた,178,-1,-1,164,-1,1829,11251,173,169,173,-1,-1,353,-1,-1,-1,166,153,140,435,162,189,-1,23997,472,284,-1,-1,-1,178,920,468,-1,17460,4832,3685
そうか,179,-1,-1,-1,-1,-1,-1,375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17086,17591,-1,-1,887,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,14664
そのまま,180,-1,-1,1071,-1,-1,-1,1271,1175,-1,-1,-1,502,-1,-1,-1,-1,-1,-1,309,-1,-1,126,8233,492,888,1913,1493,-1,1249,-1,-1,-1,1283,577,-1
なんです,181,-1,-1,226,-1,-1,-1,185,533,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,428,-1,-1,-1,-1,788,473,-1,-1,-1,560,-1,-1,-1,-1,101,-1
について,182,-1,-1,784,-1,120,-1,14795,568,-1,-1,-1,260,-1,-1,-1,-1,-1,-1,630,-1,-1,1021,426,11310,868,296,191,-1,597,-1,-1,-1,138,127,-1
これから,183,-1,-1,291,-1,-1,-1,343,491,-1,-1,-1,589,-1,-1,-1,-1,-1,-1,411,-1,-1,142,15792,636,393,7914,6786,-1,513,-1,-1,-1,8255,421,-1
べき,184,-1,721,-1,-1,-1,-1,714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,532,572,20897,-1,-1,-1,-1,-1,-1,20760,-1,64364
ごめん,185,215,-1,223,1727,4205,7439,178,251,181,-1,190,2089,288,126,709,288,267,119,272,241,254,17334,-1,1978,299,14218,21715,580,263,1113,632,127,18350,2277,1289
いけない,186,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1717,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
とても,187,1111,4710,853,-1,664,538,981,476,460,268,478,477,937,735,288,937,870,707,457,283,318,-1,-1,484,756,5067,4367,333,498,752,436,251,4943,941,337
あんな,190,681,19533,335,-1,3838,3455,419,507,591,332,617,760,378,490,386,378,349,469,616,712,730,-1,19162,737,342,8436,12275,1014,531,1359,657,515,17269,1309,1664
どういう,192,-1,-1,263,-1,-1,3684,255,365,-1,-1,-1,539,-1,-1,-1,-1,-1,-1,445,-1,-1,800,-1,580,352,15996,12072,-1,391,1261,-1,-1,19219,389,343
だったら,194,-1,-1,395,-1,10104,-1,333,763,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,365,-1,-1,-1,-1,1007,406,-1,-1,-1,796,-1,-1,-1,-1,211,-1
ダメ,195,-1,11382,232,-1,-1,-1,660,135,130,-1,-1,2411,-1,-1,-1,270,251,145,267,209,213,-1,-1,5586,364,-1,-1,-1,142,425,885,-1,9214,299,426
ううん,196,371,-1,815,-1,4560,6563,830,1747,1640,-1,1686,4962,1257,554,2914,1257,1169,532,676,3821,3168,-1,-1,4984,912,-1,-1,-1,1856,2145,3150,-1,-1,22009,9814
どこか,197,-1,-1,18602,-1,-1,-1,1021,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7674,-1,-1,-1,-1,419,673,-1,-1,-1,-1,-1,-1,-1,-1,4114,-1
なるほど,198,162,-1,458,1869,3551,6670,568,548,529,399,550,777,452,530,482,452,417,508,430,1277,1318,764,13708,679,481,23389,-1,367,573,899,822,361,20439,1151,431
つまり,200,1902,1993,510,-1,516,1908,-1,509,504,225,522,385,500,695,239,500,459,668,466,401,446,-1,133,-1,568,13325,6591,337,532,1142,412,354,2888,227,375
このまま,201,-1,-1,-1,-1,-1,-1,558,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,75,-1,1344,375,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
はぁ,202,-1,-1,219,-1,-1,-1,-1,1342,1449,-1,-1,5602,-1,-1,-1,293,272,609,104,3568,4200,-1,-1,-1,645,-1,-1,-1,1411,2312,1405,-1,-1,3548,1058
ことがある,203,-1,-1,-1,-1,771,-1,698,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,536,438,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
そんなに,204,-1,-1,501,-1,-1,-1,601,677,-1,-1,-1,962,-1,-1,-1,-1,-1,-1,324,-1,-1,82,-1,1009,462,14489,14949,-1,706,-1,-1,-1,-1,586,-1
はずだ,205,-1,-1,-1,-1,-1,-1,945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,682,571,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
やはり,206,81,4158,631,-1,511,1649,1039,1260,1212,176,377,456,275,177,168,458,423,908,572,3205,3317,-1,9201,443,727,12724,11240,140,1330,2553,443,96,4933,1222,446
あまり,207,166,1240,1376,-1,604,861,-1,1237,1299,168,1339,412,1399,710,153,1399,1296,982,497,646,700,3381,-1,-1,896,1874,1594,230,1307,525,298,202,1580,353,390
かしら,208,644,21420,425,-1,2249,2422,728,382,356,353,372,658,548,355,403,548,505,338,433,355,397,-1,-1,770,-1,3989,3555,-1,404,1000,683,-1,-1,6456,2595
そうです,209,-1,-1,-1,-1,-1,-1,210,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,591,437,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
あいつ,210,601,22535,184,3545,4391,13234,270,256,256,357,268,703,127,211,512,127,118,201,405,340,376,-1,-1,853,324,9024,10410,493,264,882,745,286,14282,1593,1382
いつ,213,-1,2177,349,-1,-1,1176,647,323,116,-1,-1,488,-1,-1,75,140,129,100,402,137,148,-1,12091,905,405,3513,2526,-1,343,210,141,-1,6339,1138,480
いただく,214,214,-1,358,-1,467,62,147,663,613,274,639,748,654,512,566,654,607,490,774,-1,-1,192,-1,439,497,5276,5225,238,696,551,671,327,14188,201,84
んん,218,-1,-1,-1,-1,-1,-1,-1,-1,3182,-1,-1,-1,-1,-1,-1,1656,1538,833,-1,7519,8110,-1,-1,-1,738,-1,-1,-1,-1,-1,5392,-1,-1,-1,-1
でもない,219,-1,-1,-1,-1,-1,-1,1440,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,859,1029,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
ことができる,222,-1,-1,-1,-1,268,-1,1075,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,300,652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
それから,224,-1,-1,930,-1,655,-1,751,912,-1,-1,-1,320,-1,-1,-1,-1,-1,-1,1011,-1,-1,969,3399,218,1024,17043,16738,-1,965,-1,-1,-1,10252,1342,-1
こいつ,225,567,-1,259,6244,5243,9969,591,341,332,433,347,914,145,322,559,145,132,306,334,386,423,-1,-1,1058,339,20189,20302,344,362,397,824,271,-1,761,667
かなり,226,770,1808,1067,6027,623,1013,1262,820,959,314,992,572,1395,1563,367,1395,1292,1509,649,591,662,-1,-1,783,1056,6488,5905,340,862,852,556,592,1499,434,388
でしょうか,227,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,761,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
なぁ,229,-1,-1,213,-1,-1,1845,-1,1391,1392,-1,-1,2054,-1,-1,-1,254,236,413,197,1026,1164,-1,-1,-1,1519,-1,-1,-1,1457,714,801,-1,20287,501,194
なので,230,-1,-1,7772,-1,6852,-1,-1,11453,-1,-1,-1,22423,-1,-1,-1,-1,-1,-1,4460,-1,-1,-1,4098,-1,1263,-1,-1,-1,11945,-1,-1,-1,-1,408,-1
こういう,231,-1,-1,547,-1,-1,-1,13448,802,-1,-1,-1,550,-1,-1,-1,-1,-1,-1,422,-1,-1,237,-1,13361,670,24974,16188,-1,840,-1,-1,-1,20118,149,-1
