word,ANIME_JDRAMA_rank,CEJC_rank,ADNO,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
生態,21950,-1,3343,13869,9766,13416,24866,23125,8403,-1,8616,18287,12846,10550,13550,12846,12043,10144,22338,13665,14134,15310,345,-1,17800,-1,19462,16667,6187,23166,-1,14735,12947,4278,19952,19203
痛手,21951,20704,-1,12005,-1,17729,10822,15111,12758,-1,13090,19242,24004,-1,11662,24004,22504,24184,17770,15520,17048,16838,-1,9973,21490,-1,21118,23160,10549,15625,-1,20612,13510,-1,23521,29004
石碑,21952,6059,9928,9239,-1,16387,-1,-1,-1,-1,-1,24579,15099,-1,17798,15099,14158,-1,-1,-1,-1,-1,-1,-1,-1,-1,14142,12195,12871,-1,-1,19815,24337,12413,7902,17960
研究部,21953,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13138,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
神器,21954,-1,-1,-1,-1,22251,7968,21816,17426,-1,17891,17910,3176,-1,17938,3176,2962,-1,20545,-1,-1,-1,-1,-1,-1,-1,-1,-1,10094,22414,-1,14514,21883,17999,16535,26447
私服,21955,16266,-1,16349,-1,14830,19201,19724,15324,-1,15723,11754,16153,6877,8712,16153,15134,6616,6514,20948,19530,9240,-1,12609,13439,-1,-1,-1,9752,20284,-1,9579,4631,20420,19788,12938
窓際,21956,20704,-1,5772,20402,14988,20376,19662,15493,-1,15897,7250,-1,11179,3874,-1,24997,10750,10210,16816,18234,12249,-1,8102,-1,-1,-1,-1,8735,20220,-1,6697,6086,-1,-1,25765
竹井,21957,-1,-1,-1,-1,-1,14921,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6423,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,111234
結託,21958,-1,22048,-1,-1,-1,20655,17939,15023,-1,15414,-1,21400,12964,23725,21400,20059,12466,23773,19631,19868,-1,-1,-1,20637,-1,-1,-1,14636,18530,-1,-1,15769,23306,18420,24758
絶縁,21959,-1,13016,8919,-1,18176,14420,18269,14007,-1,14377,20824,23160,24730,15783,23160,21710,23772,-1,19184,18407,18996,-1,23663,-1,-1,9967,9465,19774,18826,-1,-1,23493,13930,23349,19778
練習場,21960,-1,-1,-1,-1,15222,-1,19039,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16759,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19562,-1,-1,-1,-1,15997,9734
羽振り,21961,20704,-1,-1,-1,-1,23821,-1,-1,-1,-1,-1,-1,-1,19652,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19273,-1,-1,-1,-1,-1,-1,74655
耐え,21962,-1,5722,-1,-1,-1,-1,22710,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1302,1381,9453,-1,-1,-1,-1,-1,-1,-1,23330,-1,-1,-1,-1,-1,-1
聞き取り,21963,20704,21560,-1,-1,20355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20195,24158,-1,-1,-1,-1,-1,-1,-1,19068,-1,-1,-1,-1,-1,11603,17052
脱す,21964,-1,-1,-1,-1,-1,-1,23041,-1,-1,-1,14679,-1,-1,-1,-1,-1,-1,15721,-1,-1,-1,-1,-1,-1,-1,13899,13840,-1,23659,-1,-1,-1,21973,-1,140542
腕試し,21965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,17052,22850,-1,17052,15981,21978,-1,-1,-1,-1,-1,-1,23069,-1,-1,-1,16958,-1,-1,-1,23615,-1,-1,68426
自慢話,21966,-1,-1,16481,-1,-1,24338,22945,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23567,-1,-1,-1,-1,21282,-1
花魁,21967,-1,-1,17218,-1,-1,19738,-1,-1,-1,-1,16836,11654,-1,23988,11654,10933,-1,-1,-1,-1,20687,-1,18542,-1,-1,-1,-1,-1,-1,-1,20164,-1,-1,-1,43808
螢,21968,-1,-1,9720,-1,-1,5367,7766,16843,-1,-1,21217,-1,-1,-1,4346,4059,437,4656,-1,15790,-1,-1,9554,-1,8305,-1,-1,-1,8004,-1,17591,-1,17275,-1,55547
行動力,21969,-1,-1,-1,-1,9592,21638,23234,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16632,-1,-1,16739,-1,-1,16650,-1,-1,-1,-1,23570,-1,-1,-1,-1,15650,15612
製薬会社,21970,-1,-1,-1,-1,-1,18217,12841,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13305,-1,-1,-1,-1,-1,-1
見通す,21971,-1,-1,-1,21319,16593,-1,-1,16478,2639,16914,17358,8534,17970,12142,8534,7986,17268,12466,-1,-1,18845,-1,14315,15492,-1,13692,12428,6590,-1,-1,14555,6498,-1,6881,13684
警務部,21972,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,173505
警固,21973,-1,-1,12070,-1,-1,16766,-1,-1,-1,-1,-1,-1,-1,19742,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,10107,14599,-1,-1,-1,-1,-1,-1,-1,95956
財務省,21974,-1,-1,-1,-1,12225,19065,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12008,-1,-1,-1,-1,15236,-1,-1,-1,-1,-1,13493,-1,7547
身の上,21975,20704,-1,-1,-1,24461,18814,-1,17693,-1,18165,6551,14656,24535,4961,14656,13749,23583,19232,-1,-1,19516,-1,6649,23313,-1,11294,9454,10723,-1,-1,8518,11586,-1,-1,66297
通告,21976,20704,7309,16706,17021,14680,19804,15856,11172,-1,11460,15354,18077,-1,11593,18077,16947,24624,22144,10239,10888,-1,-1,17287,-1,-1,-1,21888,16600,15829,9020,20547,14257,10373,6799,7956
邪魔立て,21977,-1,-1,-1,-1,-1,24573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23368,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
酒造,21978,16266,6886,-1,-1,11798,18070,-1,-1,-1,-1,-1,-1,-1,23619,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7644,-1,7487
長ける,21979,20704,-1,-1,24489,10822,-1,23145,22341,4081,22942,16401,14027,23457,-1,14027,13153,22560,9712,-1,-1,10896,-1,19578,20112,7864,4081,4258,4912,23863,-1,10893,8023,9420,13865,16328
関ヶ原,21980,-1,9222,-1,-1,-1,17848,-1,-1,-1,-1,22668,-1,-1,-1,-1,-1,20425,-1,-1,-1,-1,-1,-1,-1,-1,20132,-1,-1,-1,-1,8586,-1,9207,24926,23752
風邪気味,21981,-1,-1,22848,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
飛び込める,21982,-1,-1,-1,-1,-1,-1,21487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,23075,-1,-1,-1,-1,-1,-1,-1,22070,-1,-1,-1,-1,-1,57988
アザラシ,21983,-1,24971,-1,-1,-1,-1,12984,11210,-1,-1,-1,-1,-1,22965,15948,14947,21591,-1,19414,18327,-1,-1,-1,-1,9602,23282,-1,-1,13447,-1,-1,-1,24869,-1,20614
