word,combined_rank,small_talk_rank,consultation_rank,meeting_rank,class_rank,outdoors_rank,school_rank,transportation_rank,public_commercial_rank,home_rank,indoors_rank,workplace_rank,male_rank,female_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NETFLIX,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
一,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,5,1,1,5,2,2,1,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5
居る,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,5,5,1,3,4,5,5,5,5,5,5,4,4,4,5,1,1,5,2,1,5,5,4,5,5,3,5,5,5,3,4,5
分かる,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,3,4,5,5,5,5,5,4,5,5
ええ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,4,3,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,2,2,1,5,5,5,1,2,4,5
見る,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5
ふん,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,1,2,2,1,4,4,1,4,4,5,4,4,5,5,4,4,3,3,1,1,1,4,5,4,4,1,4,3,4,1,2,3,4
どう,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,4,5,5
くらい,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,4,4,1,5,5,5,1,3,5,5
じゃん,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,3,3,5,5,5,4,5,3,5,5,3,5,5,5,5,4,5,1,1,4,5,5,2,2,1,5,1,4,2,2,5,5
此の,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,5,5,1
矢張り,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,1,3,5,5,5,2,2,5,4,4,2,5,3,4,5
ん,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,1,1,5,1,1,1,5,5,5,5,5,5,1,4,5,5,5,5,5,1,5,5,5,1,5,5,5
ちゃん,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,5,5,5,3,3,5,5,5,5,5,5,5,5
へえ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,3,2,5,4,4,1,4,4,5,5,4,4,4,5,4,3,3,1,1,4,5,5,1,1,1,4,4,4,1,1,2,3
違う,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,4,4,5,5,5,5,5,4,5,5
れる,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,4,4,1,5,5,1,5,5,5,1,5,5,5
食べる,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,4,5,5,5,5,5,5,5,4,5,5
ば,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,2,5,4,1,5,5,1,5,5,5,1,5,5,5
此処,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,2,3,4,4,3,2,5,5,5,2,2,5,5,3,3,5,5,5,1
し,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,1,4,5,5
十,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,4,3,5,1,1,5,3,3,3,5,4,4,5,2,5,4,4,5,5,5,5,4,5,4,5,5,4
感じ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,1,5,5,1,5,5,5,5,3,5,5,5,5,5,5,5,2,1,5,3,4,5,5,5,4,5,5,3,5,5
だけ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,1,5,5,5,1,5,5,5
その,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,5,5,5,1,4,5,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,1,5,5,5
えーと,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,2,2,1,3,3,1,4,3,5,5,3,3,3,4,4,4,4,1,1,1,3,1,1,1,1,3,3,2,1,1,3,4
其処,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,2,3,3,1,1,2,5,5,2,2,5,5,5,2,5,4,5,5
たい,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,2,5,4,2,5,5,1,5,5,5,1,5,5,5
出来る,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,4,4,5,5,5,5,5,5,4,4,4,5,1,1,5,2,5,5,5,3,4,5,4,5,5,5,5,5,5
け,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,3,3,5,5,4,5,5,4,5,5,1,4,4,4,5,5,5,1,2,4,4,1,5,5,1,5,4,4,1,4,4,4
ず,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,1,4,5,5,1,5,5,1,4,4,3,1,5,5,1,3,1,3,1,1,1,1,1,1,4,1,1,1,3
出る,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
多分,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,4,4,5,4,4,5,4,4,4,5,4,4,4,5,5,5,5,4,1,5,4,5,1,2,5,4,4,4,5,1,5,5
入る,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5
もの,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,5,5,1,5,5,5,1,5,5,5
まで,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,1,5,5,5,1,5,5,5
ほら,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,3,3,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,1,1,4,5,5,3,3,1,5,4,5,1,1,4,5
結構,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,4,5,5,2,2,5,5,4,4,5,2,5,5
美味しい,5,5,5,4,5,5,4,5,5,5,5,5,5,5,2,4,1,5,5,5,3,3,4,5,3,5,5,4,2,2,4,5,1,1,5,1,4,5,5,2,3,5,3,3,4,5,2,5,5
貰う,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,1,5,5,5,2,2,5,5,4,5,5,5,2,3,2,4,1,1,5,1,4,5,5,4,2,5,2,4,4,5,3,4,4
彼の,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,4,4,5,5,5,5,5,4,5,5
たり,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,4,4,5,5,1,5,5,5,1,5,5,5
取る,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
大丈夫,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,1,2,5,5,5,5,5,2,5,5
使う,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,4,5,5,5,5,5,5,5,5,5,5
持つ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
そんな,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,4,4,5,5,5,5,5,4,5,5
此方,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,2,2,5,1,1,5,5,1,2,2,5,5,4,2,5,2,5,1
入れる,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,1,5,5,5,5,5,5,5,4,5,5
作る,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5
駄目,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,4,4,5,4,4,1,5,4,5,5,5,5,5,4,5,5,4,5,1,4,5,1,2,2,5,4,4,4,5,2,3,4
呉れる,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,5,5,1,5,5,5,5,3,5,5,5,5,5,5,5,1,1,1,1,1,5,5,2,2,5,5,5,3,5,4,5,5
五,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,4,5,1,1,5,1,1,5,5,5,5,4,4,4,4,3,5,5,5,5,5,5,4,3,5,5,5,4,4
