word,NETFLIX_rank,CEJC_rank,ADNO,ANIME_JDRAMA,AOZORA_BUNKO,BCCWJ,CC100,CHRISKEMPSON,DAVE_DOEBRICK,DD2_MIGAKU_NETFLIX,DD2_MIGAKU_NOVELS,DD2_MORPHMAN_NETFLIX,DD2_MORPHMAN_NOVELS,DD2_MORPHMAN_SHONEN,DD2_MORPHMAN_SOL,DD2_YOMICHAN_NOVELS,DD2_YOMICHAN_SHONEN,DD2_YOMICHAN_SHONEN_STARS,DD2_YOMICHAN_SOL,DD2_YOMICHAN_VN,HERMITDAVE_2016,HERMITDAVE_2018,H_FREQ,ILYASEMENOV,INNOCENT_RANKED,JITEN_ANIME,JPDB,KOKUGOJITEN,MONODICTS,NAROU,NIER,NOVELS,VN_FREQ,WIKIPEDIA_V2,YOUTUBE_FREQ,YOUTUBE_FREQ_V3
司令部,5986,-1,-1,10556,15562,-1,19936,13694,6070,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,6022,16419,-1,-1,-1,-1,374,-1,-1,-1,18527,19958
絶対に,5987,-1,-1,4993,-1,-1,-1,638,5739,-1,-1,-1,13106,-1,-1,-1,-1,-1,-1,5101,-1,-1,9707,-1,1221,1182,3857,-1,-1,-1,-1,-1,-1,-1,3609,-1
うっする,5988,-1,-1,3810,-1,-1,-1,-1,5731,20996,-1,-1,-1,-1,-1,-1,5823,5437,7130,7194,-1,-1,7197,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20437,20301
上品,5989,5116,24675,9887,2216,11393,6157,11228,5759,5248,1913,5379,5210,10915,10275,4003,10915,10240,9889,6656,6182,6631,5726,-1,5426,9785,-1,5851,5137,5174,-1,5479,4625,23749,13791,7202
海兵,5991,-1,4872,13267,-1,-1,-1,-1,5746,5041,-1,5167,13291,3947,-1,16354,3947,3685,-1,-1,3018,3167,-1,-1,-1,-1,-1,-1,-1,23785,-1,14985,-1,5737,-1,24764
イスラエル,5992,13446,2488,-1,-1,9574,5071,23764,5748,-1,-1,-1,16699,-1,-1,14139,-1,-1,-1,-1,5473,4888,-1,1682,17678,-1,14075,7159,6461,-1,9872,8432,-1,3554,9838,1647
ティー,5993,2636,6851,10372,-1,11784,4506,7617,5749,4144,2846,-1,8306,-1,-1,5780,9984,9364,5124,13678,5537,6157,-1,3737,4755,16110,7598,4429,16912,2870,-1,4662,3135,7794,12544,4312
お嬢,5994,-1,-1,4125,-1,-1,22128,5221,5753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3948,-1,-1,2868,-1,15857,10714,11273,-1,-1,-1,5666,-1,-1,-1,-1,17790
砲,5995,16266,1233,2394,11356,13933,15835,602,5812,4427,1496,4538,3331,3011,12443,5739,3011,2808,11969,9030,5862,5904,-1,6384,182,6726,215,5692,8501,4012,2551,3329,9099,976,3465,8700
福田,5996,-1,5410,7336,13295,23532,21681,7958,5766,-1,-1,-1,8860,-1,-1,14648,3853,3597,5029,-1,-1,-1,-1,5544,10321,-1,-1,13884,13121,-1,-1,17271,-1,3253,21806,7139
打ち明ける,5997,3170,-1,7988,-1,10450,9089,5797,5755,5005,1134,5130,3916,5739,5092,2602,18430,17277,16342,5239,-1,-1,8748,-1,3653,10326,16188,16810,17017,4143,5567,4697,3480,17385,-1,18607
過ごせる,5998,-1,-1,10783,-1,13521,-1,-1,5747,5166,-1,-1,21279,-1,-1,-1,12741,11945,6334,6056,-1,-1,4392,-1,-1,-1,-1,-1,-1,-1,-1,11391,-1,-1,8654,6555
ペース,5999,2809,5454,5659,-1,8586,2300,7903,5740,4696,-1,-1,10344,-1,-1,6685,4477,4184,3593,3229,6503,6578,-1,-1,10809,5035,1015,-1,-1,2967,-1,4957,2015,8334,3912,3050
団体,6001,2278,564,7833,3566,1267,1110,6859,5760,3379,-1,3471,4940,7071,2793,3736,7071,6622,2698,8969,4484,4678,2793,3867,6725,10059,-1,1338,989,6112,-1,4084,6916,683,1749,1208
小切手,6002,-1,-1,23811,14710,-1,20960,13272,5764,4897,-1,5022,13209,-1,-1,11638,-1,-1,-1,-1,4866,5006,24240,-1,15015,-1,-1,5983,7259,-1,-1,22841,-1,18755,-1,44664
本部長,6003,-1,-1,4047,-1,-1,19327,5253,5765,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13850,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,15277
現象,6004,5687,1959,5030,1296,3203,2408,7201,5786,4057,-1,4158,2511,4203,2913,1891,4203,3929,2812,2805,4509,4524,5890,21646,3176,4980,-1,673,605,2687,4136,2062,2366,2415,1922,2081
身元,6005,-1,15754,5234,11638,16732,9673,3505,5768,3946,-1,4047,8453,12087,15033,5245,12087,11338,14442,17308,1894,2241,17853,-1,9913,12177,-1,18123,19692,8488,8724,9052,10448,21972,-1,28306
